startStation,startStationID,endStation,endStationID,Count
Michigan Ave & Washington St,13001,LaSalle St & Washington St,13006,7
Michigan Ave & Washington St,13001,Millennium Park,13008,54
Michigan Ave & Washington St,13001,Canal St & Adams St,13011,10
Michigan Ave & Washington St,13001,St. Clair St & Erie St,13016,21
Michigan Ave & Washington St,13001,Franklin St & Chicago Ave,13017,1
Michigan Ave & Washington St,13001,Clinton St & Lake St,13021,4
Michigan Ave & Washington St,13001,Streeter Dr & Grand Ave,13022,25
Michigan Ave & Washington St,13001,900 W Harrison St,13028,2
Michigan Ave & Washington St,13001,Field Museum,13029,4
Michigan Ave & Washington St,13001,Milwaukee Ave & Grand Ave,13033,2
Michigan Ave & Washington St,13001,Michigan Ave & Pearson St,13034,21
Michigan Ave & Washington St,13001,Michigan Ave & Madison St,13036,8
Michigan Ave & Washington St,13001,Clinton St & Tilden St,13037,1
Michigan Ave & Washington St,13001,Michigan Ave & Oak St,13042,4
Michigan Ave & Washington St,13001,Dearborn St & Erie St,13045,34
Michigan Ave & Washington St,13001,State St & Kinzie St,13050,13
Michigan Ave & Washington St,13001,Green St & Randolph St,13053,4
Michigan Ave & Washington St,13001,Canal St & Monroe St,13056,9
Michigan Ave & Washington St,13001,Dayton St & North Ave,13058,1
Michigan Ave & Washington St,13001,Bissell St & Armitage Ave,13059,3
Michigan Ave & Washington St,13001,Ashland Ave & Division St,13061,1
Michigan Ave & Washington St,13001,Western Ave & Winnebago Ave,13068,2
Michigan Ave & Washington St,13001,Southport Ave & Roscoe St,13071,8
Michigan Ave & Washington St,13001,Wentworth Ave & Cermak Rd,13075,4
Michigan Ave & Washington St,13001,California Ave & Milwaukee Ave,13084,2
Michigan Ave & Washington St,13001,Cannon Dr & Fullerton Ave,13124,2
Michigan Ave & Washington St,13001,Clark St & North Ave,13128,2
Michigan Ave & Washington St,13001,Damen Ave & Cortland St,13133,10
Michigan Ave & Washington St,13001,Damen Ave & Madison St,13134,4
Michigan Ave & Washington St,13001,Broadway & Barry Ave,13137,2
Michigan Ave & Washington St,13001,Canal St & Jackson Blvd,13138,1
Michigan Ave & Washington St,13001,Clark St & Armitage Ave,13146,7
Michigan Ave & Washington St,13001,Michigan Ave & 18th St,13150,4
Michigan Ave & Washington St,13001,Racine Ave & Randolph St,13155,1
Michigan Ave & Washington St,13001,Aberdeen St & Monroe St,13156,4
Michigan Ave & Washington St,13001,Aberdeen St & Jackson Blvd,13157,1
Michigan Ave & Washington St,13001,Peoria St & Jackson Blvd,13158,6
Michigan Ave & Washington St,13001,May St & Taylor St,13160,3
Michigan Ave & Washington St,13001,Morgan St & 18th St,13163,1
Michigan Ave & Washington St,13001,Racine Ave & 18th St,13164,2
Michigan Ave & Washington St,13001,Clark St & Lincoln Ave,13179,9
Michigan Ave & Washington St,13001,Sedgwick St & Webster Ave,13191,5
Michigan Ave & Washington St,13001,Larrabee St & Webster Ave,13193,1
Michigan Ave & Washington St,13001,Ogden Ave & Race Ave,13194,9
Michigan Ave & Washington St,13001,Carpenter St & Huron St,13196,2
Michigan Ave & Washington St,13001,Elizabeth (May) St & Fulton St,13197,1
Michigan Ave & Washington St,13001,Rhodes Ave & 32nd St,13215,3
Michigan Ave & Washington St,13001,Wood St & Milwaukee Ave,13221,1
Michigan Ave & Washington St,13001,Ashland Ave & Blackhawk St,13224,3
Michigan Ave & Washington St,13001,Southport Ave & Waveland Ave,13235,1
Michigan Ave & Washington St,13001,Milwaukee Ave & Rockwell St,13242,1
Michigan Ave & Washington St,13001,Ashland Ave & Chicago Ave,13247,2
Michigan Ave & Washington St,13001,Columbus Dr & Randolph St,13263,23
Michigan Ave & Washington St,13001,Kingsbury St & Erie St,13265,1
Michigan Ave & Washington St,13001,Stockton Dr & Wrightwood Ave,13276,4
Michigan Ave & Washington St,13001,Broadway & Cornelia Ave,13278,1
