ORIGIN,DESTINATION,VOLUME
1,2,1193.078973
1,3,1874.152526
1,4,2793.930744
1,5,1741.512933
1,6,3815.591492
1,7,1267.318116
1,8,1050.25308
1,9,9624.157277
1,10,1346.32456
2,1,1190.170202
2,3,1043.773219
2,4,982.62177
2,5,1690.017501
2,6,2085.171108
2,7,3796.775113
2,8,599.190438
2,9,11650.16922
2,10,4071.674612
3,1,1880.66987
3,2,1053.481816
3,4,2769.318278
3,5,1978.630864
3,6,1706.619737
3,7,943.2891901
3,8,1600.019643
3,9,3182.990416
3,10,1185.141189
4,1,2855.633648
4,2,1009.275683
4,3,2818.965732
4,5,1901.218287
4,6,3293.807443
4,7,924.0712397
4,8,1462.95548
4,9,4355.615439
4,10,1212.506928
5,1,1637.438588
5,2,1592.570962
5,3,1853.138718
5,4,1756.216293
5,6,4228.690289
5,7,1162.507569
5,8,1751.208571
5,9,5893.667722
5,10,4337.57302
6,1,3741.46192
6,2,2050.527865
6,3,1667.958174
6,4,3171.067227
6,5,4444.89752
6,7,1731.720626
6,8,1789.176219
6,9,10854.13992
6,10,4178.209304
7,1,1261.579362
7,2,3790.810996
7,3,935.6008074
7,4,904.2273725
7,5,1235.118884
7,6,1763.33931
7,8,505.7530597
7,9,10853.05725
7,10,1351.714588
8,1,1913.642815
8,2,1094.175236
8,3,2902.785077
8,4,2617.13174
8,5,3392.163323
8,6,3321.788044
8,7,925.538133
8,9,4798.313203
8,10,2072.190853
9,1,4580.316299
9,2,5611.113555
9,3,1521.140944
9,4,2052.467478
9,5,3006.371748
9,6,5309.763699
9,7,5229.818612
9,8,1267.929029
9,10,5050.976792
10,1,1279.025918
10,2,3893.866035
10,3,1126.23192
10,4,1136.644601
10,5,4397.364582
10,6,4060.201971
10,7,1294.613201
10,8,1088.449407
10,9,10110.40353
