ORIGIN,DESTINATION,VOLUME
1,2,16913.78344
1,3,49640.62737
1,4,3238.516143
1,6,39259.91235
1,7,34636.23816
1,8,17859.18848
1,9,58200.79435
1,10,31984.09809
1,11,390.3136198
1,12,494.4842892
1,13,602.3266799
1,14,776.8751457
1,15,432.3131672
1,16,1085.17982
1,17,767.8516701
1,18,9670.356945
1,19,4986.401253
1,21,9170.859715
1,23,10364.52102
1,24,9767.817024
1,25,267.3796247
1,26,267.5342896
1,27,18615.96976
1,28,7093.754177
1,29,7140.878695
1,30,450.5380546
1,31,137.644927
1,32,4724.813786
1,33,4513.968238
1,34,237.4561039
1,35,289.2217485
2,1,26906.42861
2,3,48524.37472
2,4,5029.299043
2,6,32960.47202
2,7,33498.23438
2,8,15982.99001
2,9,74882.15666
2,10,37903.45384
2,11,411.3879045
2,12,311.6073218
2,13,402.2738164
2,14,533.1981749
2,15,298.7400555
2,16,649.5362043
2,17,462.622123
2,18,5735.891155
2,19,3832.767721
2,21,5857.882136
2,23,10500.8106
2,24,10831.76468
2,25,208.2417013
2,26,218.1532043
2,27,14104.49311
2,28,4405.855529
2,29,6255.805636
2,30,357.5873772
2,31,93.51272029
2,32,3413.647782
2,33,3639.439672
2,34,223.6724761
2,35,139.6432423
3,1,44076.16041
3,2,27115.85845
3,4,12710.8111
3,6,114063.0197
3,7,86329.49727
3,8,70423.74661
3,9,158641.4859
3,10,74642.83415
3,11,636.2583224
3,12,795.6743231
3,13,955.318621
3,14,1253.359473
3,15,712.4754553
3,16,1696.89507
3,17,1201.090703
3,18,15621.22963
3,19,8076.415931
3,21,13781.71905
3,23,23899.15218
3,24,29560.19379
3,25,856.419491
3,26,850.2361374
3,27,47292.87037
3,28,9520.469657
3,29,14395.2832
3,30,767.2657295
3,31,275.1727279
3,32,9867.675148
3,33,10515.4134
3,34,650.3431324
3,35,343.4493459
4,1,4476.366954
4,2,4361.108347
4,3,19547.08649
4,6,13516.75013
4,7,10490.04323
4,8,6283.012271
4,9,22157.19036
4,10,9788.951838
4,11,97.63317934
4,12,76.33925604
4,13,96.64919136
4,14,127.1405908
4,15,70.53901737
4,16,151.8185714
4,17,110.3162314
4,18,1378.844491
4,19,1004.527962
4,21,1616.956688
4,23,2260.846529
4,24,3072.625443
4,25,74.21633589
4,26,80.05874043
4,27,4966.612417
4,28,927.1050584
4,29,1440.9152
4,30,78.01587982
