ORIGIN,DESTINATION,VOLUME
11,12,14824.60183
11,13,1600.619765
11,14,2628.271802
11,15,816.7926656
11,16,2876.170565
11,17,551.3009871
11,18,1289.101311
11,31,2111.744559
11,32,3711.528955
11,33,5206.875313
11,34,480.2203223
11,35,3526.182829
11,51,244.6037739
11,52,318.3250306
11,53,672.7366973
11,61,531.3321438
11,62,311.8789931
11,63,326.3667295
11,64,326.9104778
11,71,364.168153
11,72,199.0232677
11,73,923.8227849
11,73,790.9370916
11,74,239.4134464
11,81,228.927045
11,94,1.735684024
12,11,7572.478887
12,13,8101.739582
12,14,13974.94249
12,15,3197.594308
12,16,6863.413039
12,17,1207.98906
12,18,6303.039532
12,31,7515.029198
12,32,9342.841856
12,33,9979.429342
12,34,1058.382796
12,35,12628.53809
12,51,964.913286
12,52,702.8008777
12,53,959.1372671
12,61,1342.090049
12,62,616.9723194
12,63,1191.691809
12,64,1128.441703
12,71,538.4048676
12,72,358.442108
12,73,2094.290877
12,73,1793.354649
12,74,340.2541562
12,81,867.9481289
12,94,24.32548814
13,11,1570.451322
13,12,15563.40633
13,14,8475.75088
13,15,2757.081102
13,16,7606.271007
13,17,1458.188883
13,18,3388.717165
13,31,5353.959597
13,32,9380.994837
13,33,6681.882863
13,34,551.4694339
13,35,4686.334437
13,51,616.7762804
13,52,595.076711
13,53,309.4003163
13,61,1100.042101
13,62,281.2242011
13,63,497.1569743
13,64,527.5218532
13,71,216.5935253
13,72,206.2320629
13,73,1217.948313
13,73,1528.09506
13,74,153.0292651
13,81,393.3532164
13,94,38.9171179
14,11,1972.153929
14,12,20541.75506
14,13,6485.70211
14,15,3734.356984
14,16,10816.73346
14,17,1795.420133
14,18,4316.69723
14,31,7064.867486
14,32,12436.76283
14,33,10240.59793
14,34,811.0658033
14,35,6204.093709
14,51,776.2778153
14,52,900.1884373
14,53,405.5486578
14,61,1845.371305
14,62,550.6464941
14,63,587.0137401
14,64,575.6380547
14,71,304.3663913
14,72,395.9632986
14,73,2205.26228
14,73,2556.552171
14,74,251.3970877
14,81,418.9869313
14,94,126.2920595
15,11,866.9224555
15,12,6650.174697
15,13,2981.726009
15,14,5278.111192
15,16,7408.793349
15,17,1427.547792
15,18,4579.382437
15,31,4419.933666
15,32,5663.503526
15,33,7859.504045
15,34,749.495814
15,35,4525.334546
15,51,322.4776986
15,52,468.6468712
15,53,242.6471423
15,61,876.7644097
15,62,368.6375756
15,63,314.7002125
15,64,281.5056675
15,71,162.3306451
15,72,227.2673947
15,73,1268.098694
15,73,1304.320442
15,74,158.9445406
15,81,179.6398141
15,94,98.55877717
16,11,1846.568524
16,12,8642.249594
16,13,4980.18661
16,14,9257.997653
16,15,4487.596436
16,17,2807.300026
16,18,16946.25628
16,31,21410.71834
16,32,29898.06558
16,33,16393.43129
16,34,1571.0468
16,35,19166.7119
16,51,1062.265388
16,52,880.9246158
16,53,945.7024527
16,61,1890.105554
16,62,1097.466896
16,63,1343.853778
16,64,730.8220358
16,71,545.6290785
16,72,632.4854616
16,73,2583.900447
16,73,2854.064159
16,74,535.7054882
16,81,299.0312768
16,94,521.8723983
17,11,1078.978462
17,12,4630.957965
17,13,2906.147521
17,14,4674.916729
17,15,2630.551456
17,16,8525.016615
17,18,5597.653156
17,31,7257.539283
17,32,8595.459211
17,33,8489.287919
17,34,879.4949135
17,35,6153.027189
17,51,362.5972164
17,52,516.6709963
17,53,290.6286451
17,61,1052.943678
17,62,344.8123529
17,63,341.9605224
17,64,345.4654973
17,71,167.3325207
17,72,231.1545094
17,73,1402.491724
17,73,1480.600048
17,74,171.1723682
17,81,218.1145517
17,94,97.41692523
18,11,989.8235681
18,12,9491.699251
18,13,2652.571043
18,14,4418.010036
18,15,3315.503256
18,16,20258.09908
18,17,2201.344427
18,31,26296.11473
18,32,34766.81499
18,33,23616.75476
18,34,1905.464969
18,35,16174.85686
18,51,1506.02132
18,52,863.118095
18,53,1027.893065
18,61,1780.966409
18,62,1034.39787
18,63,1400.09665
18,64,651.1236251
18,71,513.1687855
18,72,593.5727318
18,73,2543.764665
18,73,2355.112511
18,74,517.7298682
18,81,265.3827733
18,94,574.4160258
31,11,1201.87588
31,12,8390.582219
31,13,3107.123573
31,14,5360.677733
31,15,2371.830944
31,16,18990.58283
31,17,2117.384463
31,18,19515.1783
31,32,173345.745
31,33,60409.25195
31,34,5775.044994
31,35,29950.7733
31,51,2553.700945
31,52,2332.366501
31,53,1409.444212
31,61,2560.140229
31,62,1339.488324
31,63,2480.76429
31,64,1129.888263
31,71,969.4097611
31,72,764.9874374
31,73,3270.195231
31,73,3392.355642
31,74,673.9228552
31,81,351.3103732
31,94,1164.470226
32,11,3532.287929
32,12,17447.93337
32,13,9108.83231
32,14,15789.38588
32,15,5082.741356
32,16,44419.5005
32,17,4195.611815
32,18,43227.93478
32,31,293441.0917
32,33,172012.7832
32,34,16405.41914
32,35,103643.9339
32,51,6409.630241
32,52,7531.218
32,53,3540.342857
32,61,6952.877824
32,62,3615.243551
32,63,6610.723656
32,64,3011.986231
32,71,2682.400799
32,72,2008.210248
32,73,9496.992542
32,73,8984.508575
32,74,1735.482206
32,81,967.0715442
32,94,3222.091654
33,11,2239.200076
33,12,8419.567318
33,13,2929.38722
33,14,5871.783126
33,15,3188.474332
33,16,10990.37464
33,17,1871.753749
33,18,13250.3082
33,31,45834.39878
33,32,77763.33529
33,34,36608.29813
33,35,107951.2366
33,51,7341.577397
33,52,4113.688255
33,53,2350.998866
33,61,3952.232474
33,62,2293.375771
33,63,3526.515548
33,64,2996.115851
33,71,1532.113914
33,72,1132.49783
33,73,10838.19887
33,73,11648.33746
33,74,1083.482586
33,81,931.2598885
33,94,1426.386438
34,11,537.2324475
34,12,2323.008379
34,13,628.800026
34,14,1209.373083
34,15,789.9633948
34,16,2737.173949
34,17,502.6785694
34,18,2775.252631
34,31,11325.94783
34,32,19199.39286
34,33,92903.38183
34,35,30311.95577
34,51,2126.299614
34,52,1085.542597
34,53,676.8094451
34,61,1018.498641
34,62,532.021705
34,63,867.5043292
34,64,678.2848212
34,71,399.6991081
34,72,285.2142937
34,73,2789.311508
34,73,2922.253423
34,74,283.8885581
34,81,244.5309399
34,94,355.5892887
35,11,2773.513078
35,12,19493.34408
35,13,3757.533833
35,14,6505.155242
35,15,3355.447734
35,16,23511.29809
35,17,2478.718307
35,18,16587.56065
35,31,41459.88905
35,32,85631.41506
35,33,197137.0402
35,34,21470.21862
35,51,21763.70502
35,52,17246.03509
35,53,9057.516254
35,61,7458.63565
35,62,4888.363008
35,63,10804.05766
35,64,6735.726573
35,71,2414.269046
35,72,3892.87939
35,73,23017.77414
35,73,23001.6927
35,74,4207.508154
35,81,2397.16514
35,94,1689.893839
51,11,272.7757334
51,12,2111.328078
51,13,701.0226981
51,14,1153.849142
51,15,338.8017686
51,16,1845.290929
51,17,206.5351012
51,18,2186.858072
51,31,5000.47002
51,32,7502.869056
51,33,18970.82399
51,34,2119.637268
51,35,30655.41386
51,52,3827.443253
51,53,1172.339091
51,61,1267.696037
51,62,572.6969697
51,63,1631.707509
51,64,989.0121327
51,71,398.5893024
51,72,746.2232295
51,73,3147.826666
51,73,3310.70634
51,74,581.155098
51,81,296.0743186
51,94,198.7467193
52,11,329.2216004
52,12,1426.452645
52,13,627.2810529
52,14,1240.939976
52,15,456.6411394
52,16,1419.381529
52,17,272.9539648
52,18,1162.581057
52,31,4236.865344
52,32,8176.832614
52,33,9883.519877
52,34,1003.603057
52,35,22590.09747
52,51,3550.271944
52,53,2856.521463
52,61,1105.911903
52,62,614.6240372
52,63,1359.509972
52,64,1031.636302
52,71,634.5005152
52,72,744.5207986
52,73,4005.17813
52,73,5570.934313
52,74,720.047748
52,81,316.2393104
52,94,290.5200754
53,11,674.8968887
53,12,1888.191561
53,13,316.3644009
53,14,542.3394985
53,15,229.3336958
53,16,1478.045307
53,17,148.9154954
53,18,1342.975298
53,31,2484.272953
53,32,3731.975596
53,33,5484.204462
53,34,606.9351815
53,35,11534.52637
