IPUMSID,POINT_X,POINT_Y
11,96.90901216,4.221964173
51,115.1317309,-8.369652367
17,102.3446804,-3.558703057
31,106.8336961,-6.199073865
15,102.7219019,-1.697698884
32,107.3017545,-6.826441227
33,110.2000468,-7.258565339
35,112.7334159,-7.719056677
61,111.1206467,-0.086102145
63,115.434942,-3.001507671
62,113.4168125,-1.601037236
64,116.3820095,1.330310789
18,105.0233914,-4.918390831
81,128.9120532,-2.732396381
52,117.5102788,-8.602675608
53,122.1802155,-9.259291764
94,137.3254608,-4.031217538
14,102.1189089,0.590315151
73,119.3393019,-2.461240908
73,120.1702669,-3.70543101
72,121.2050796,-1.002906358
74,122.0828285,-4.140474687
71,123.5558197,1.005186015
13,100.4623963,-0.860827459
16,104.5550272,-3.09254709
12,99.05782724,2.189644386
34,110.4466309,-7.895079475
