ORIGIN,DESTINATION,VOLUME
1,2,1770.936049
1,3,1856.306665
1,4,7718.837847
1,5,2057.362124
1,6,1173.22335
1,7,1976.292412
1,8,13249.17767
1,9,4702.395359
1,10,9014.37744
1,11,2212.974617
1,12,911.1058372
1,13,2274.689186
1,14,1955.894697
1,15,7027.345659
1,16,9539.37684
2,1,1967.6412
2,3,2451.450198
2,4,2502.660875
2,5,2758.622665
2,6,1347.86445
2,7,966.1661558
2,8,17916.58845
2,9,2863.314612
2,10,2111.333199
2,11,2197.127715
2,12,394.5208248
2,13,1591.371985
2,14,831.0950336
2,15,8674.722763
2,16,1461.173889
3,1,1767.970971
3,2,2101.419498
3,4,1903.464066
3,5,3232.97397
3,6,957.9038391
3,7,1411.712156
3,8,19023.16089
3,9,1768.633044
3,10,1990.305148
3,11,3190.054487
3,12,453.7476764
3,13,2284.145756
3,14,1139.948356
3,15,10200.92213
3,16,1201.813836
4,1,7410.141129
4,2,2160.714178
4,3,1917.239892
4,5,2440.674013
4,6,1077.337372
4,7,1691.171257
4,8,11975.06471
4,9,5735.3051
4,10,7188.619576
4,11,1791.59827
4,12,630.6869631
4,13,2368.809282
4,14,1553.675349
4,15,6112.20075
4,16,5445.583263
5,1,2145.417018
5,2,2589.051365
5,3,3540.009712
5,4,2653.184452
5,6,961.6216869
5,7,1493.29527
5,8,15394.12418
5,9,2406.105225
5,10,2636.923145
5,11,2232.008144
5,12,436.4555683
5,13,2652.718588
5,14,1211.742957
5,15,7847.984968
5,16,1489.358503
6,1,1312.514949
6,2,1357.418073
6,3,1125.265234
6,4,1256.412886
6,5,1031.938913
6,7,589.116658
6,8,17359.55079
6,9,1587.627882
6,10,1145.992495
6,11,1931.417334
6,12,317.3209346
6,13,720.6772294
6,14,563.2480383
6,15,8275.151851
6,16,947.5437446
7,1,2230.697732
7,2,981.4353136
7,3,1672.79519
7,4,1989.60541
7,5,1616.332031
7,6,594.2217029
7,8,7805.070624
7,9,1391.378472
7,10,3014.216595
7,11,1347.745062
7,12,728.7040586
7,13,2929.790953
7,14,3900.394054
7,15,4184.646309
7,16,1337.989613
8,1,13424.08888
8,2,16243.0893
8,3,20133.35711
8,4,12634.37619
8,5,14881.57874
8,6,15627.98081
8,7,7002.213799
8,9,13824.63327
8,10,12371.54679
8,11,44074.61329
8,12,3660.953968
8,13,9534.705117
8,14,6402.106423
8,15,195978.7142
8,16,9224.126419
9,1,4592.241255
9,2,2515.628787
9,3,1813.006061
9,4,5836.219923
9,5,2252.645088
9,6,1385.376756
9,7,1203.756319
9,8,13336.84212
9,10,4010.740733
9,11,1808.481278
9,12,553.6175299
9,13,1741.92958
9,14,1099.010479
9,15,6593.897438
9,16,3855.784948
10,1,8929.316477
10,2,1881.977876
10,3,2069.61795
10,4,7417.409088
10,5,2504.083443
10,6,1014.589366
10,7,2644.297677
10,8,12093.03118
10,9,4067.995789
10,11,1948.547238
10,12,826.9392946
10,13,3170.230759
10,14,2538.116015
10,15,6334.144026
10,16,5088.897642
11,1,2292.182371
11,2,2048.067787
11,3,3468.347783
11,4,1934.359658
11,5,2216.885233
11,6,1787.817056
11,7,1237.022943
11,8,45488.93831
11,9,1918.608654
11,10,2037.793503
11,12,657.9637596
11,13,1589.438121
11,14,1135.146413
11,15,28598.17813
11,16,1537.463605
12,1,954.1030005
12,2,371.7073742
12,3,498.6857805
12,4,688.2554432
12,5,438.2189188
12,6,296.8437205
12,7,676.1721683
12,8,3792.647312
12,9,593.5489992
12,10,874.2527684
12,11,665.0040873
12,13,513.0978673
12,14,798.6867969
12,15,2045.949277
12,16,603.2576339
13,1,2412.670026
13,2,1519.027597
13,3,2543.381322
13,4,2618.877467
13,5,2697.789525
13,6,683.1197027
13,7,2752.827603
13,8,9992.805917
13,9,1892.167409
13,10,3395.756669
13,11,1627.373608
13,12,519.7856698
13,14,2170.973362
13,15,5256.784478
13,16,1530.260399
14,1,2048.46702
14,2,783.43426
14,3,1253.439984
14,4,1696.074227
14,5,1217.128835
14,6,527.224376
14,7,3618.967018
14,8,6616.321023
14,9,1178.763142
14,10,2684.361315
14,11,1147.613883
14,12,798.6842977
14,13,2143.88666
14,15,3556.458765
14,16,1200.794746
15,1,12859.50438
15,2,14217.31147
15,3,19498.19682
15,4,11649.87507
15,5,13709.25058
15,6,13469.51142
15,7,6781.554544
15,8,350119.4676
15,9,12349.03788
15,10,11704.32122
15,11,49893.87425
15,12,3568.034617
15,13,9060.829841
15,14,6216.348893
15,16,8742.316228
16,1,6742.84075
16,2,924.4524877
16,3,886.7965888
16,4,3999.569061
16,5,1004.092825
16,6,595.1241936
16,7,833.2951986
16,8,6424.210443
16,9,2779.943339
16,10,3620.13868
16,11,1043.25624
16,12,404.9119422
16,13,1014.268561
16,14,805.8274352
16,15,3369.478573
