ORIGIN,DESTINATION,VOLUME
1,2,525.7509483
1,3,72.78905395
1,4,44.18892237
1,5,243.0273563
1,6,167.6776934
1,7,1635.913017
1,8,422.180455
1,9,77.27364109
1,10,745.3128888
1,11,3990.672856
1,12,182.5017037
1,13,110.6709981
2,1,634.411588
2,3,51.26164417
2,4,35.94767229
2,5,245.0071612
2,6,118.545009
2,7,848.4421081
2,8,271.1648853
2,9,43.18182593
2,10,312.3235912
2,11,4197.099947
2,12,86.03990693
2,13,58.42651764
3,1,125.7852211
3,2,73.46764939
3,4,93.3920014
3,5,206.6502675
3,6,232.7989804
3,7,383.540948
3,8,266.2199462
3,9,134.1127662
3,10,53.43357139
3,11,828.5387521
3,12,20.06503968
3,13,120.5192108
4,1,111.3108575
4,2,75.10189946
4,3,136.1224892
4,5,275.780251
4,6,157.6031286
4,7,456.238195
4,8,135.711976
4,9,123.3030441
4,10,52.23979403
4,11,858.8062164
4,12,16.77456592
4,13,177.1907743
5,1,270.6187098
5,2,226.2160225
5,3,133.1427522
5,4,121.9015681
5,6,426.9612736
5,7,989.4521151
5,8,474.8629183
5,9,213.6032353
5,10,191.1928876
5,11,3767.059099
5,12,70.23654442
5,13,274.5140652
6,1,205.0156478
6,2,120.2030447
6,3,164.6820682
6,4,76.49592104
6,5,468.8349967
6,7,1488.037751
6,8,350.0563443
6,9,232.1854201
6,10,163.3363423
6,11,2510.567812
6,12,50.86907159
6,13,130.2372903
7,1,2479.43615
7,2,1065.181367
7,3,336.4629995
7,4,274.6590454
7,5,1347.331324
7,6,1844.179361
7,8,4768.893019
7,9,529.2646498
7,10,969.9861521
7,11,15079.65343
7,12,603.6027976
7,13,463.9505454
8,1,485.3770797
8,2,258.4965579
8,3,177.0852097
8,4,61.94583589
8,5,490.2760614
8,6,329.1589803
8,7,3616.485084
8,9,176.8734956
8,10,444.0960359
8,11,3039.147643
8,12,168.5290064
8,13,102.3930368
9,1,156.5778115
9,2,72.56917314
9,3,157.2315125
9,4,99.1831822
9,5,388.7241622
9,6,384.8097658
9,7,707.3599024
9,8,311.7381202
9,10,130.7649303
9,11,1344.181932
9,12,44.92586214
9,13,168.3990401
10,1,766.0959607
10,2,266.148262
10,3,31.78162143
10,4,21.31438346
10,5,176.4681097
10,6,137.299477
10,7,657.4511717
10,8,397.0186941
10,9,66.3266362
10,11,2714.905248
10,12,143.1637624
10,13,61.2956297
11,1,3038.70463
11,2,2638.342766
11,3,365.1388152
11,4,259.7572495
11,5,2576.240114
11,6,1563.702355
11,7,7583.717503
11,8,2014.481422
11,9,505.3331133
11,10,2011.339354
11,12,467.0954777
11,13,456.9899875
12,1,425.215644
12,2,166.2260666
12,3,27.05261465
12,4,15.51411011
12,5,146.9484742
12,6,96.9274421
12,7,927.7732099
12,8,341.5220715
12,9,51.65370662
12,10,324.5289907
12,11,1428.625087
12,13,34.20249167
13,1,190.1850413
13,2,83.27168731
13,3,119.8372169
13,4,120.8755086
13,5,423.674061
13,6,183.0492832
13,7,525.7360043
13,8,153.0343481
13,9,142.8153757
13,10,102.4882356
13,11,1030.711248
13,12,25.22885713
