NODEJ,NODEI,PrdMIG
2,6,27888.56697
2,10,2043.155456
2,14,9474.030827
2,18,3734.069198
2,22,2764.20519
2,26,1769.679447
2,30,5255.445935
2,34,1959.755832
2,38,1314.654911
2,42,3272.696844
2,46,2267.768522
2,50,3553.964533
2,54,2251.065171
2,58,2088.603649
2,62,2034.945477
2,66,1342.389948
2,70,2697.333401
2,74,2698.819585
2,78,631.3025779
2,82,4199.055926
2,86,2032.053218
2,90,2053.612808
2,94,352.1351909
6,2,70067.92039
6,10,10479.15294
6,14,50927.01095
6,18,14778.9094
6,22,11797.07512
6,26,14045.201
6,30,21541.01143
6,34,8174.822608
6,38,6188.880679
6,42,24539.66098
6,46,12396.55455
6,50,24009.07071
6,54,8612.86175
6,58,15885.33007
6,62,16063.09952
6,66,6247.596093
6,70,15892.55199
6,74,17000.91633
6,78,4966.255325
6,82,18315.78165
6,86,9279.927034
6,90,9851.90754
6,94,2645.430802
10,2,564.3918084
10,6,1136.498884
10,14,1124.518689
10,18,338.6898499
10,22,512.6044718
10,26,120.5406199
10,30,306.6728296
10,34,372.4512293
10,38,554.2974157
10,42,248.9723065
10,46,687.4113831
10,50,499.434991
10,54,194.1473952
10,58,212.936923
10,62,144.9314934
10,66,504.6174762
10,70,722.8016428
10,74,327.2082248
10,78,38.97328678
10,82,404.2099958
10,86,475.1124779
10,90,784.4219594
10,94,18.26471143
14,2,10440.34421
14,6,21992.72288
14,10,4413.494169
14,18,4073.964414
14,22,4221.378011
14,26,1968.140405
14,30,5039.683175
14,34,2859.479887
14,38,2593.41785
14,42,4311.590547
14,46,5203.237838
14,50,6570.606537
14,54,2146.967906
14,58,3044.883345
14,62,2392.72112
14,66,2541.189727
14,70,6029.770259
14,74,5139.52049
14,78,638.4854394
14,82,5867.132906
14,86,3729.105912
14,90,4172.256978
14,94,314.4545365
18,2,2834.199692
18,6,4402.651979
18,10,899.290989
18,14,2709.912434
18,22,1822.197614
18,26,289.1907208
18,30,1575.14478
18,34,1397.340904
18,38,762.3621259
18,42,608.8840401
18,46,833.4263832
18,50,845.1570219
18,54,1505.289762
18,58,405.472396
18,62,348.966296
18,66,780.3040121
18,70,871.0402799
18,74,663.2983691
18,78,99.12398356
18,82,1640.915268
18,86,1039.456787
18,90,1007.881416
18,94,53.35661239
22,2,2088.601143
22,6,3499.859326
22,10,1378.712598
22,14,2844.389491
22,18,1814.553532
22,26,262.6979262
22,30,1226.003623
22,34,2153.489752
22,38,1324.617833
22,42,575.4251963
22,46,1127.201687
22,50,937.4593647
22,54,1204.956938
22,58,414.6620535
22,62,324.3395
22,66,1350.911864
22,70,1136.632514
22,74,707.3374788
22,78,85.73347746
22,82,1513.258707
22,86,1499.104554
22,90,1555.918157
22,94,43.42373174
26,2,619.807918
26,6,1929.989373
26,10,150.2084919
26,14,614.9418777
26,18,133.4182637
26,22,119.6520989
26,30,193.9925436
26,34,81.15586323
26,38,79.39952999
26,42,501.1952577
26,46,189.6832685
26,50,548.0703319
26,54,75.28869738
26,58,705.4015823
26,62,749.3356754
26,66,76.75558844
26,70,292.1044088
26,74,273.063285
26,78,522.5530498
26,82,183.9003766
26,86,107.452647
26,90,129.0159432
26,94,243.2188723
30,2,5467.352735
30,6,8785.001168
