ORIGIN,DESTINATION,VOLUME
11,12,1844.529868
11,13,2432.444451
11,14,667.2660873
11,15,962.3116064
11,16,429.2338444
11,17,478.7285045
11,21,331.1466933
11,22,248.1005606
11,23,208.6879982
11,24,109.173441
11,25,116.5899966
11,26,190.2459617
11,27,107.2628073
11,28,122.3509827
11,29,322.2275708
11,31,1162.784564
11,32,195.6755533
11,33,453.5987539
11,35,4023.095773
11,41,595.3890675
11,42,306.8956675
11,43,364.2309421
11,50,892.3913004
11,51,1384.174722
11,52,764.9660837
11,53,555.4840626
12,11,1439.018134
12,13,1552.319594
12,14,384.1091664
12,15,295.8506137
12,16,156.4032725
12,17,120.2510458
12,21,89.52587277
12,22,64.06486903
12,23,55.11333991
12,24,28.35189529
12,25,29.88052773
12,26,48.28741474
12,27,26.9478783
12,28,30.54196901
12,29,79.75201444
12,31,293.6783176
12,32,49.39183256
12,33,118.391422
12,35,1102.986227
12,41,179.1112978
12,42,95.50129802
12,43,126.9104993
12,50,258.2998071
12,51,342.7586053
12,52,191.6362079
12,53,138.2511878
13,11,5153.398208
13,12,4087.055213
13,14,3400.214782
13,15,2292.847444
13,16,1378.79134
13,17,727.386511
13,21,657.3072088
13,22,436.7782618
13,23,399.4905686
13,24,200.8195435
13,25,205.0360532
13,26,321.1549493
13,27,173.8043787
13,28,190.8909641
13,29,461.6270161
13,31,1326.557334
13,32,226.942301
13,33,485.9072854
13,35,3983.483156
13,41,551.0297098
13,42,281.4063174
13,43,324.4030018
13,50,828.3670162
13,51,1548.867605
13,52,869.9309252
13,53,657.9447498
14,11,441.5246716
14,12,320.7120706
14,13,1061.819401
14,15,552.7931001
14,16,510.82003
14,17,135.8155408
14,21,165.8385746
14,22,101.7232924
14,23,105.6844453
14,24,52.60622921
14,25,51.25011921
14,26,76.20532413
14,27,40.08892261
14,28,42.05646633
14,29,89.28202384
14,31,197.7086314
14,32,35.68224087
14,33,68.75495876
14,35,488.0613598
14,41,60.23410965
14,42,30.51716118
14,43,32.30643672
14,50,88.16251903
14,51,186.1456191
14,52,121.4766756
14,53,97.97526856
15,11,5524.850185
15,12,2109.401674
15,13,6119.878097
15,14,4650.59075
15,16,9507.444305
15,17,5867.921628
15,21,6972.587842
15,22,4451.468581
15,23,4253.440049
15,24,2128.23586
15,25,2141.319503
15,26,3280.580689
15,27,1744.835583
15,28,1861.835402
15,29,4026.071587
15,31,8185.022962
15,32,1540.915052
15,33,2807.768164
15,35,17261.84658
15,41,1883.468918
15,42,969.500791
15,43,921.336427
15,50,2475.236411
15,51,5018.931063
15,52,4585.203291
15,53,3941.307372
16,11,404.6777974
16,12,183.1285528
16,13,604.2509382
16,14,705.4838815
16,15,1536.390682
16,17,437.1342771
16,21,772.4127973
16,22,461.373519
16,23,538.9819149
16,24,270.5571332
16,25,256.7912552
16,26,367.3921893
16,27,191.3692618
16,28,193.4532926
16,29,349.2114636
16,31,590.4910154
16,32,118.6692895
16,33,202.747257
16,35,1139.207158
16,41,120.4695775
16,42,62.45105057
16,43,58.35817798
16,50,155.3824073
16,51,314.9933646
16,52,304.4102424
16,53,272.2993952
17,11,715.5106658
17,12,226.7502869
17,13,505.4716851
17,14,297.3269305
17,15,1504.195484
17,16,682.5468457
17,21,1644.182747
17,22,1519.14233
17,23,1235.405495
17,24,677.7314755
17,25,738.2429148
17,26,1215.74648
17,27,687.3533013
17,28,778.5887012
17,29,1946.362754
17,31,4191.571949
17,32,805.7650741
17,33,1438.35333
17,35,7715.654821
17,41,760.1649431
17,42,408.073982
17,43,358.9325124
17,50,822.9319949
17,51,1082.8365
17,52,1984.012513
17,53,1886.991918
21,11,1966.631219
21,12,670.7162676
21,13,1814.900999
21,14,1465.495313
21,15,7102.339797
21,16,4792.986493
21,17,6435.029876
21,22,10564.0959
21,23,10751.92329
21,24,5399.804445
21,25,5414.71757
21,26,8131.586931
21,27,4270.04955
21,28,4402.270443
21,29,7811.572715
21,31,11064.09306
21,32,2490.660364
21,33,3935.828181
21,35,17686.50829
21,41,1672.712549
21,42,918.7662376
21,43,789.3426374
21,50,1752.534109
21,51,2589.831529
21,52,4392.914945
21,53,4420.367461
22,11,741.811931
22,12,241.6381424
22,13,607.1750256
22,14,452.5348278
22,15,2282.852333
22,16,1441.061545
22,17,2993.150374
22,21,5237.808698
22,23,6318.827074
22,24,3428.528785
22,25,3628.70382
22,26,5719.255628
22,27,3054.318703
22,28,3216.358051
22,29,5520.60505
22,31,7043.1049
22,32,1720.092253
22,33,2609.721351
22,35,10395.28119
22,41,946.8194148
22,42,539.6254543
22,43,451.4331086
22,50,887.4741365
22,51,1092.380387
22,52,2309.844665
22,53,2462.686284
23,11,1223.04497
23,12,407.43584
23,13,1088.511371
23,14,921.5347781
23,15,4276.124054
23,16,3300.158258
23,17,4771.678432
23,21,10453.34276
23,22,12013.46815
23,24,14969.9555
23,25,14259.51075
23,26,18978.3636
23,27,10000.2891
23,28,9335.925012
23,29,10796.88152
23,31,12658.80944
23,32,3511.705016
23,33,5029.710218
23,35,17752.23535
23,41,1584.789792
23,42,929.5394665
23,43,766.1685489
23,50,1411.748286
23,51,1720.799503
23,52,3759.980409
23,53,4087.556885
24,11,314.5253624
24,12,103.0330494
24,13,268.9854517
24,14,225.4785932
24,15,1051.68737
24,16,814.1512421
24,17,1286.523032
24,21,2579.78065
24,22,3253.725566
24,23,7359.438714
24,25,7172.919521
24,26,7982.743752
24,27,4731.689713
24,28,4025.139146
24,29,3669.103545
24,31,4328.739269
24,32,1347.228364
24,33,1865.955351
24,35,5866.654752
24,41,515.2759207
24,42,314.4998361
24,43,255.913569
24,50,420.5033762
24,51,461.0643079
24,52,1121.200304
24,53,1250.764462
25,11,396.6541541
25,12,128.2317954
25,13,324.3139733
25,14,259.4032221
25,15,1249.572037
25,16,912.5065349
25,17,1654.914433
