ISO,IPUMSID,POINT_X,POINT_Y
BRA,12,-70.44666617640,-9.30991673565
BRA,27,-36.62319561640,-9.51555361370
BRA,16,-51.96103309030,1.44004342948
BRA,13,-64.69348644720,-4.19262977781
BRA,29,-41.73007712980,-12.47331113340
BRA,23,-39.61790209940,-5.09146429142
BRA,53,-47.79722597060,-15.78111951660
BRA,32,-40.66114896130,-19.64267181720
BRA,52,-49.62332081390,-16.04442885410
BRA,21,-45.28740688970,-5.06869930353
BRA,50,-54.84547025690,-20.32589839450
BRA,51,-55.91920097070,-12.94959988390
BRA,31,-44.65770348240,-18.45798562940
BRA,15,-53.06252532810,-3.97338031942
BRA,25,-36.87254733970,-7.14256855924
BRA,41,-51.62375031570,-24.63683119860
BRA,26,-37.99888227090,-8.32604424292
BRA,22,-42.96912486240,-7.38448443757
BRA,33,-42.66135386430,-22.19491892010
BRA,24,-36.68216570990,-5.84698535033
BRA,43,-53.31683674020,-29.73783889860
BRA,11,-62.85654950830,-10.89856476880
BRA,14,-61.39801946210,2.08469221202
BRA,42,-50.46626651210,-27.25191558730
BRA,35,-48.73276064110,-22.26541286320
BRA,28,-37.44606645220,-10.59088955770
BRA,17,-48.33000119520,-10.15018371520
