ORIGIN,DESTINATION,VOLUME
1,2,1257.044226
1,3,1590.427091
1,4,951.8751906
1,5,1329.223972
1,6,1865.094946
1,7,1559.671968
1,8,803.4917335
1,9,3295.437733
1,10,1054.764671
1,11,1278.070959
1,12,1021.433682
1,13,1071.433673
1,14,938.4539322
1,15,842.9901676
1,16,887.4690708
1,17,2580.794864
1,18,1496.505469
1,19,854.2774477
1,21,669.8882367
1,22,601.0158861
1,23,651.3892496
1,24,1172.856268
2,1,511.7135949
2,3,384.0719081
2,4,293.7834008
2,5,412.9802191
2,6,518.5548756
2,7,339.2488315
2,8,250.3345464
2,9,870.1576953
2,10,326.6613804
2,11,271.9156993
2,12,310.6729268
2,13,321.0084105
2,14,233.0491906
2,15,251.9233366
2,16,240.0458812
2,17,816.2598912
2,18,458.7865353
2,19,184.2426941
2,21,199.818471
2,22,173.1111892
2,23,202.9684852
2,24,305.3738377
3,1,733.1010076
3,2,427.2615312
3,4,330.1550487
3,5,460.7886632
3,6,646.0647082
3,7,476.8051393
3,8,277.9339934
3,9,1097.83225
3,10,365.8540149
3,11,387.0720704
3,12,350.9922772
3,13,365.1768211
3,14,312.7749123
3,15,291.5464483
3,16,300.2989421
3,17,911.6233845
3,18,528.5260825
3,19,264.6627965
3,21,230.4487501
3,22,205.2028094
3,23,225.3347646
3,24,383.9402711
4,1,327.8839321
4,2,244.1301657
4,3,242.2735791
4,5,323.2064355
4,6,343.3811084
4,7,215.2740447
4,8,263.1606777
4,9,560.2665423
4,10,369.8222638
4,11,173.1310944
4,12,210.4834893
4,13,243.8877251
4,14,163.286653
4,15,232.4903283
4,16,198.8288058
4,17,774.168574
4,18,334.3437051
4,19,117.2762555
4,21,211.6787559
4,22,165.9304587
4,23,175.6890301
4,24,201.8923153
5,1,1035.820028
5,2,776.5607974
5,3,765.0896326
5,4,718.388621
5,6,1075.004478
5,7,684.6127011
5,8,616.8717555
5,9,1777.61087
5,10,813.6706913
5,11,548.9605215
5,12,664.9378751
5,13,723.9078937
5,14,492.4332477
5,15,596.2481492
5,16,534.0206597
5,17,1994.9849
5,18,1025.765225
5,19,367.3288991
5,21,473.7459162
5,22,400.4274977
5,23,497.0189762
5,24,633.4004958
6,1,1349.129396
6,2,905.2649578
6,3,995.9125217
6,4,695.3719641
6,5,962.2393092
