ORIGIN,DESTINATION,VOLUME
1,2,689.9647088
1,3,840.1038677
1,4,498.8842387
1,5,1570.778077
1,6,1904.89489
1,7,641.3484232
1,8,1234.468979
1,9,7813.007611
1,10,1724.419382
1,11,2756.939851
1,12,1296.636041
1,13,1512.261306
1,14,3315.567672
1,15,6569.748918
1,16,1987.442112
1,17,1506.398713
1,18,1780.373153
1,19,2354.260605
1,20,812.6973339
1,21,1476.114819
1,22,1790.280885
1,23,314.9250824
1,24,1927.944444
1,25,1325.081299
1,26,608.7417292
1,27,520.2840278
1,28,1622.387939
1,29,1036.077876
1,30,1961.09188
1,31,378.7921891
1,32,1589.20501
2,1,1391.247366
2,3,4079.377956
2,4,211.2166475
2,5,1745.043222
2,6,994.6060897
2,7,247.9469776
2,8,3346.314792
2,9,2989.58613
2,10,1826.462599
2,11,1051.037177
2,12,511.3156148
2,13,584.708163
2,14,1602.293781
2,15,2516.080015
2,16,820.6135634
2,17,575.0359723
2,18,1155.641122
2,19,1602.887395
2,20,309.4442599
2,21,563.7903947
2,22,688.243926
2,23,139.687026
2,24,824.1227952
2,25,2323.447236
2,26,4251.055165
2,27,205.7338441
2,28,873.1588741
2,29,396.5036509
2,30,763.9404071
2,31,173.9755465
2,32,835.4851348
3,1,811.2533802
3,2,1926.718351
3,4,114.2237681
3,5,789.3249874
3,6,618.5024413
3,7,142.5811155
3,8,1357.217711
3,9,1765.859641
3,10,998.7365286
3,11,616.8845317
3,12,313.1533204
3,13,336.1097466
3,14,984.5387077
3,15,1494.159409
3,16,503.7153606
3,17,342.875485
3,18,706.7362107
3,19,789.3002564
3,20,184.1834994
3,21,329.4452747
3,22,397.8692859
3,23,72.85350853
3,24,457.7688645
3,25,1339.656635
3,26,1299.244342
3,27,115.7228595
3,28,446.7784525
3,29,230.6469621
3,30,435.9807793
3,31,89.29177536
3,32,470.4699071
4,1,810.2100265
4,2,165.8222472
4,3,187.136522
4,5,557.5459418
4,6,566.823051
4,7,2102.165846
4,8,350.8291632
4,9,4970.65607
4,10,421.9755951
4,11,949.8722354
4,12,815.9444019
4,13,908.0438748
4,14,846.0864503
4,15,3668.853965
4,16,733.1315408
4,17,1023.085122
4,18,405.4416317
4,19,1017.060945
4,20,1113.872666
4,21,1283.032543
4,22,814.1603339
4,23,1691.421543
4,24,695.7867413
4,25,307.8375392
4,26,156.7782792
4,27,1690.83285
4,28,877.64182
4,29,817.2358999
4,30,2326.371542
4,31,1738.350538
4,32,387.033213
5,1,4686.336457
5,2,2515.558129
5,3,2407.700824
5,4,1011.131673
5,6,2541.14259
5,7,1123.457445
5,8,5457.334909
5,9,11587.93462
5,10,4807.240996
5,11,3849.590213
5,12,1780.960332
5,13,2421.928244
5,14,4484.131385
5,15,9487.256604
5,16,2601.444997
5,17,2199.621243
5,18,2874.395905
5,19,7869.639995
5,20,1241.343355
5,21,2288.987189
5,22,2695.569766
5,23,695.1494646
5,24,3394.537928
5,25,3625.889623
5,26,2369.571365
5,27,948.0895691
5,28,4221.441862
5,29,1615.353907
5,30,3320.097382
5,31,869.990143
5,32,2905.68543
6,1,2049.306523
6,2,517.5627442
6,3,680.8301936
6,4,371.06877
6,5,905.2961583
6,7,535.800521
6,8,806.8266315
6,9,6448.95845
6,10,1144.943904
6,11,1954.045929
6,12,1271.906128
6,13,1107.146088
6,14,3077.583386
6,15,5477.163223
6,16,1973.473977
6,17,1299.847166
6,18,1470.311926
6,19,1341.121123
6,20,722.3305155
6,21,1198.396734
6,22,1270.501913
6,23,229.218997
6,24,1148.763606
6,25,998.626029
6,26,439.5337476
6,27,412.5269585
6,28,950.9642291
6,29,819.8239733
6,30,1519.046288
6,31,267.7030198
6,32,933.7339246
7,1,3447.529961
7,2,652.7118439
7,3,783.2954134
7,4,6873.882427
7,5,1998.260189
7,6,2640.330051
7,8,1316.663385
7,9,22789.04586
7,10,1699.785919
7,11,4081.254246
7,12,3972.800006
7,13,3847.416763
7,14,3765.838566
7,15,16597.90704
7,16,3382.516517
7,17,4737.13154
7,18,1754.166297
7,19,3642.926599
7,20,5660.460693
7,21,5779.452954
7,22,3451.021865
7,23,4154.230159
7,24,2773.468817
7,25,1253.216361
7,26,597.7168329
7,27,7114.257137
7,28,3158.544682
7,29,3608.271104
7,30,10133.40362
7,31,4258.546386
7,32,1585.470917
8,1,3640.406717
8,2,4830.587913
8,3,4093.422599
8,4,628.7372455
8,5,5325.612324
8,6,2181.53548
8,7,713.0468613
8,9,8131.142339
8,10,4818.896013
8,11,2826.246249
8,12,1310.08867
8,13,1649.881873
8,14,3822.859296
8,15,6762.742649
8,16,2036.203581
8,17,1550.196898
8,18,2678.731941
8,19,4968.280298
8,20,852.6559424
8,21,1574.706126
8,22,1911.786889
8,23,434.0358665
8,24,2337.265922
8,25,4808.831596
8,26,4550.496809
8,27,602.3163858
8,28,2646.501187
8,29,1096.663243
8,30,2176.984701
8,31,535.4394862
8,32,2261.993197
9,1,14629.00148
9,2,2729.723803
9,3,3370.279102
9,4,5656.405279
9,5,7164.333906
9,6,11103.30679
9,7,7826.487632
9,8,5081.385761
9,10,7034.885714
9,11,17644.22322
9,12,14337.78551
9,13,14961.08237
9,14,16509.89117
9,15,72471.51764
9,16,14544.64124
9,17,18730.48478
9,18,7697.592733
9,19,12508.4103
9,20,10254.56938
9,21,18232.53017
9,22,14376.50504
9,23,3491.607012
9,24,10939.18902
9,25,5395.531164
9,26,2477.958515
9,27,6244.871418
9,28,10221.27534
9,29,12465.7236
9,30,23146.517
9,31,4052.832008
9,32,6630.001769
10,1,2443.734459
10,2,1267.436821
10,3,1447.387539
10,4,363.5375629
10,5,2254.401447
10,6,1488.232117
10,7,442.4955758
10,8,2286.285287
10,9,5267.379939
