id,TotalFlow,Inflow,Outflow,Netflow,NetflowRatio,Entropy,InflowEntropy,OutflowEntropy,Gini,InGini,OutGini,WithinFlow,BetweennessN,Degree,InDegree,OutDegree
01,241194.25,185833.12,55361.133,130471.99,0.54094154,0.89608365,0.89608365,0.89608365,0.53898555,0.24110812,0.19416635,0.0,0.0,31.0,31.0,31.0
02,95698.45,56098.45,39600.004,16498.445,0.17240034,0.90751594,0.90751594,0.90751594,0.46896827,0.23210977,0.22722448,0.0,0.10513057,31.0,31.0,31.0
03,83926.08,63444.277,20481.803,42962.477,0.51190853,0.9172382,0.9172382,0.9172382,0.5101469,0.21821862,0.2066549,0.0,0.15431388,31.0,31.0,31.0
04,107484.49,73083.45,34401.04,38682.414,0.35988832,0.8905077,0.8905077,0.8905077,0.5174564,0.25359476,0.2127767,0.0,0.0,31.0,31.0,31.0
05,212339.25,108440.74,103898.516,4542.2266,0.021391366,0.9296362,0.9296362,0.9296362,0.40273723,0.21881363,0.17956477,0.0,0.0,31.0,31.0,31.0
06,177777.45,134433.1,43344.363,91088.734,0.51237506,0.88343465,0.88343465,0.88343465,0.5478976,0.25287893,0.20823833,0.0,0.0,31.0,31.0,31.0
07,229221.94,87710.414,141511.53,-53801.117,-0.2347119,0.89221996,0.89221996,0.89221996,0.4875614,0.26112765,0.21598384,0.0,0.0,31.0,31.0,31.0
08,176059.34,88301.055,87758.3,542.7578,0.0030828118,0.93339574,0.93339574,0.93339574,0.39884964,0.21024232,0.18685067,0.0,0.0,31.0,31.0,31.0
09,1133005.0,751074.44,381930.56,369143.88,0.32580957,0.8694119,0.8694119,0.8694119,0.5169149,0.27144524,0.195781,0.0,0.0,31.0,31.0,31.0
10,156432.72,107915.19,48517.535,59397.652,0.37970096,0.92452294,0.92452294,0.92452294,0.45332152,0.21510695,0.17929506,0.0,0.0,31.0,31.0,31.0
11,472217.16,183649.84,288567.3,-104917.47,-0.22218055,0.89201015,0.89201015,0.89201015,0.47880647,0.25622508,0.21143396,0.0,0.0,31.0,31.0,31.0
12,296390.2,131691.88,164698.31,-33006.438,-0.11136144,0.8641109,0.8641109,0.8641109,0.5176998,0.2788851,0.23341656,0.0,0.0,31.0,31.0,31.0
13,297379.94,142431.77,154948.17,-12516.406,-0.04208894,0.8739455,0.8739455,0.8739455,0.498805,0.26986954,0.22383086,0.0,0.0,31.0,31.0,31.0
14,517041.8,185764.94,331276.88,-145511.94,-0.28143167,0.91032803,0.91032803,0.91032803,0.45654863,0.23597907,0.19833381,0.0,0.0,31.0,31.0,31.0
15,1317857.0,526134.75,791722.25,-265587.5,-0.20152983,0.8977201,0.8977201,0.8977201,0.45905328,0.24216641,0.20715569,0.0,0.0,31.0,31.0,31.0
16,362766.4,150185.36,212581.05,-62395.688,-0.17199963,0.8824543,0.8824543,0.8824543,0.4944359,0.2667768,0.21971394,0.0,0.0,31.0,31.0,31.0
17,260181.8,164871.11,95310.69,69560.42,0.26735315,0.8514639,0.8514639,0.8514639,0.5517365,0.28207353,0.23855993,0.0,0.0,31.0,31.0,31.0
18,148889.56,105427.26,43462.3,61964.957,0.41618067,0.90668267,0.90668267,0.90668267,0.48817644,0.23308478,0.1903861,0.0,0.0,31.0,31.0,31.0
19,341282.38,163479.73,177802.62,-14322.891,-0.041967858,0.924977,0.924977,0.924977,0.4087069,0.22580795,0.17848992,0.0,0.0,31.0,31.0,31.0
20,254283.47,101482.99,152800.47,-51317.477,-0.20181209,0.875402,0.875402,0.875402,0.50865215,0.27613723,0.22423904,0.0,0.0,31.0,31.0,31.0
21,470769.3,160659.5,310109.8,-149450.31,-0.31745976,0.86891454,0.86891454,0.86891454,0.5227111,0.2746616,0.22954392,0.0,0.0,31.0,31.0,31.0
22,246528.78,148529.17,97999.62,50529.555,0.20496412,0.8773545,0.8773545,0.8773545,0.5062058,0.26453757,0.21796332,0.0,0.0,31.0,31.0,31.0
23,74571.56,46549.805,28021.758,18528.047,0.24845995,0.89544624,0.89544624,0.89544624,0.49517745,0.25025326,0.2169709,0.0,0.33760113,31.0,31.0,31.0
24,253785.31,128824.32,124960.99,3863.3281,0.0152228195,0.9040314,0.9040314,0.9040314,0.4517929,0.24634066,0.1988095,0.0,0.0,31.0,31.0,31.0
25,171579.9,85611.414,85968.5,-357.08594,-0.0020811642,0.93261427,0.93261427,0.93261427,0.39764285,0.21179895,0.18404695,0.0,0.0,31.0,31.0,31.0
26,102048.484,48623.777,53424.703,-4800.926,-0.047045536,0.91196144,0.91196144,0.91196144,0.45255342,0.22611433,0.22517277,0.0,0.1448848,31.0,31.0,31.0
27,143585.38,73601.09,69984.27,3616.8203,0.025189336,0.88817436,0.88817436,0.88817436,0.48507166,0.2643426,0.2147763,0.0,0.0,31.0,31.0,31.0
28,261716.75,124814.8,136901.95,-12087.156,-0.046184115,0.9135389,0.9135389,0.9135389,0.43226582,0.23724619,0.18991585,0.0,0.0,31.0,31.0,31.0
29,197581.03,115633.69,81947.34,33686.344,0.17049381,0.8636579,0.8636579,0.8636579,0.5265357,0.27555877,0.23199625,0.0,0.0,31.0,31.0,31.0
30,546034.1,216539.28,329494.8,-112955.53,-0.20686534,0.88313025,0.88313025,0.88313025,0.48267058,0.26267514,0.21125141,0.0,0.0,31.0,31.0,31.0
31,96274.59,52182.59,44092.004,8090.586,0.08403657,0.903971,0.903971,0.903971,0.46206936,0.24374032,0.20869505,0.0,0.0,31.0,31.0,31.0
32,157399.31,88628.305,68771.0,19857.305,0.12615877,0.91708964,0.91708964,0.91708964,0.43142304,0.23085716,0.18877746,0.0,0.0,31.0,31.0,31.0
