id,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,Year,PopDensity_sqkm,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus
1,Mexico,MX,Aguascalientes,MX01,2021,253.9,737536,715916,1453452,60598,63167,65084,65954,64338,62084,57693,52728,48753,45600,39787,33057,26108,52585,62762,66225,67859,68370,66603,64181,57282,48832,42777,39808,34865,29195,23434,43723,123360,129392,132943,134324,130941,126265,114975,101560,91530,85408,74652,62252,49542,96308
2,Mexico,MX,Baja California,MX02,2021,52.8,1847583,1842577,3690160,145588,151558,151687,153727,155689,157696,150962,139303,129008,120545,104496,86078,68339,132907,150782,153592,154476,159431,162937,164709,153037,135740,123037,117548,104552,86003,65508,111225,296370,305150,306163,313158,318626,322405,303999,275043,252045,238093,209048,172081,133847,244132
3,Mexico,MX,Baja California Sur,MX03,2021,10.8,403887,417172,821059,34788,34842,33478,33088,33362,33918,32827,30776,28516,26204,22307,18166,14102,27513,35549,35072,33940,34655,36227,37653,36052,32799,29334,26898,22964,18212,13700,24117,70337,69914,67418,67743,69589,71571,68879,63575,57850,53102,45271,36378,27802,51630
4,Mexico,MX,Campeche,MX04,2021,16.1,514237,502774,1017011,44000,44920,43002,42400,42975,44232,42850,39222,35006,31281,26724,22386,18107,37132,45436,45719,43835,42941,43043,44319,41958,36864,32315,29703,25577,20937,16659,33468,89436,90639,86837,85341,86018,88551,84808,76086,67321,60984,52301,43323,34766,70600
5,Mexico,MX,Coahuila de Zaragoza,MX05,2021,20.8,1635015,1626244,3261259,148817,143068,137197,135396,132201,128348,120494,113153,109103,105375,92988,77811,62673,128391,154604,149699,143924,142388,138858,134221,122258,109052,100707,97860,88069,74006,58906,111692,303421,292767,281121,277784,271059,262569,242752,222205,209810,203235,181057,151817,121579,240083
6,Mexico,MX,Colima,MX06,2021,130,400184,397061,797245,33043,32868,32076,32247,32705,33392,32439,30186,27671,25531,22252,18717,15234,31823,34503,35205,34521,34104,33472,33679,31994,28808,25763,24019,21175,17801,14354,27663,67546,68073,66597,66351,66177,67071,64433,58994,53434,49550,43427,36518,29588,59486
7,Mexico,MX,Chiapas,MX07,2021,75.6,2969590,2842785,5812375,310043,308711,294042,274945,255918,245402,228052,204208,180725,160038,134041,109332,86543,177590,320977,316277,300416,277825,250302,232678,207560,177506,153724,140193,121220,100751,80856,162500,631020,624988,594458,552770,506220,478080,435612,381714,334449,300231,255261,210083,167399,340090
8,Mexico,MX,Chihuahua,MX08,2021,15.1,1935624,1900882,3836506,154743,161275,165348,165653,160634,155877,146941,136682,128958,123679,110844,94053,75536,155401,160442,164441,169796,171740,165963,160089,146284,129778,118975,116137,105531,88985,70389,132332,315185,325716,335144,337393,326597,315966,293225,266460,247933,239816,216375,183038,145925,287733
9,Mexico,MX,Distrito Federal,MX09,2021,"6,163.40",4704741,4299086,9003827,248436,257678,281810,308365,333977,361277,370566,365107,357743,352071,324838,290624,251831,600418,258568,266621,291037,317553,342070,367277,361272,331787,305550,298218,276800,245643,206928,429762,507004,524299,572847,625918,676047,728554,731838,696894,663293,650289,601638,536267,458759,1030180
10,Mexico,MX,Durango,MX10,2021,14.9,955323,929299,1884622,79944,86346,86572,83734,79703,76988,71733,65581,60880,57249,50706,43262,35415,77210,82829,89209,89092,86262,81362,77568,69720,60503,54714,52677,47229,39918,32155,66061,162773,175555,175664,169996,161065,154556,141453,126084,115594,109926,97935,83180,67570,143271
11,Mexico,MX,Guanajuato,MX11,2021,201.5,3217929,3062716,6280645,274075,279040,277956,277347,271486,268414,254676,233666,213938,196997,169988,141592,114310,244444,284312,292086,289740,285490,271770,261485,237741,208000,185430,173090,150534,124298,99311,199429,558387,571126,567696,562837,543256,529899,492417,441666,399368,370087,320522,265890,213621,443873
12,Mexico,MX,Guerrero,MX12,2021,55.7,1892925,1776048,3668973,165532,173009,174401,170475,161440,153342,140222,125891,114562,106073,94152,82249,69481,162096,171754,180846,181912,173898,157863,145092,127008,108375,95724,89787,80923,71174,60361,131331,337286,353855,356313,344373,319303,298434,267230,234266,210286,195860,175075,153423,129842,293427
