ORIGIN,DESTINATION,VOLUME
1,2,853.306522
1,3,501.9918387
1,4,1354.156252
1,5,716.0355725
1,6,1872.908357
1,7,1718.190686
1,8,619.0561876
1,9,207.1675005
1,10,137.7877014
1,11,659.6612798
1,12,520.4988307
1,13,1208.999337
1,14,580.0387007
1,15,1907.825055
1,16,868.8456646
1,17,342.0882683
1,18,733.3938828
1,19,603.4303926
1,20,989.9264932
1,21,575.9566672
1,22,268.8821066
1,23,499.1319171
1,24,2179.861641
2,1,290.7732181
2,3,663.3125214
2,4,3010.987119
2,5,1040.420594
2,6,2806.79375
2,7,3587.539469
2,8,1152.824357
2,9,474.5470249
2,10,322.3168148
2,11,1285.246423
2,12,1088.54205
2,13,2196.98293
2,14,830.5932792
2,15,4673.23076
2,16,2342.829161
2,17,987.2682811
2,18,1228.470165
2,19,1727.176643
2,20,1302.162829
2,21,937.5131885
2,22,635.30295
2,23,989.9890343
2,24,3436.319499
3,1,242.1611525
3,2,938.263669
3,4,2063.261953
3,5,1305.322803
3,6,1438.047451
3,7,2817.901438
3,8,1047.466599
3,9,184.8713521
3,10,208.9840095
3,11,1174.700924
3,12,714.4033125
3,13,2173.037588
3,14,1040.107809
3,15,2730.236787
3,16,892.3918504
3,17,416.1668951
3,18,1317.059346
3,19,679.3586272
3,20,1705.474103
3,21,1051.824726
3,22,406.3579804
3,23,858.2321184
3,24,3956.915389
4,1,235.2605421
4,2,1533.812436
4,3,742.4264833
4,5,1296.43286
4,6,1874.511728
4,7,4918.156501
4,8,1511.697332
4,9,299.199745
4,10,417.2691266
4,11,1763.44451
4,12,1119.240078
4,13,2989.349611
4,14,1073.857481
4,15,5360.02983
4,16,1511.544874
4,17,788.4730916
4,18,1595.52521
4,19,1233.314059
4,20,1658.436488
4,21,1249.426591
4,22,812.4278125
4,23,1355.624993
4,24,4630.967941
5,1,245.5892574
5,2,1046.324138
5,3,927.2544173
5,4,2557.649412
5,6,1496.88011
5,7,3680.823748
5,8,1356.348587
5,9,202.4133378
5,10,262.6866619
5,11,1700.573823
5,12,817.8783604
5,13,3157.133435
5,14,1558.179728
5,15,3328.610649
5,16,998.8452052
5,17,492.0912184
5,18,1840.747767
5,19,783.6885532
5,20,2475.833883
5,21,1583.893191
5,22,510.8216985
5,23,1175.078661
5,24,5995.613217
6,1,299.7488252
6,2,1317.468666
6,3,476.8069055
6,4,1725.858009
6,5,698.0445653
6,7,2087.79793
6,8,706.7919906
6,9,360.3468305
6,10,180.4061724
6,11,752.4517447
6,12,663.0496856
6,13,1328.663977
6,14,550.1242039
6,15,2586.710381
6,16,1453.910759
6,17,538.9469194
6,18,779.2579599
6,19,983.9395802
6,20,888.4089382
6,21,590.9910477
6,22,354.0956923
6,23,583.2924027
6,24,2161.91935
7,1,290.8371065
7,2,1780.474758
7,3,987.8483486
7,4,4787.142047
7,5,1814.949359
7,6,2206.277737
7,8,2099.577349
7,9,347.0975517
7,10,509.0685233
7,11,2592.211598
7,12,1331.673762
7,13,4391.013363
7,14,1544.043396
7,15,6281.883642
7,16,1754.502251
7,17,928.8361472
7,18,2263.563195
7,19,1440.313433
7,20,2376.008346
7,21,1817.892642
7,22,992.1981373
7,23,1995.749816
7,24,6789.712829
8,1,159.5855331
8,2,871.342715
8,3,559.2910157
8,4,2241.773019
8,5,1018.73118
8,6,1137.263582
8,7,3196.509914
8,9,168.0393165
8,10,230.6953275
8,11,1255.5101
8,12,677.0142233
8,13,2239.166664
8,14,843.7404747
8,15,2912.233906
8,16,842.0697417
8,17,428.7001374
8,18,1256.158065
8,19,675.2107081
8,20,1305.416386
8,21,968.4611682
8,22,448.5526382
8,23,960.5169987
8,24,3549.671411
9,1,175.2749483
9,2,1177.798648
9,3,323.937245
9,4,1456.077057
9,5,498.8272928
9,6,1903.57809
9,7,1733.653227
9,8,551.0747095
9,10,158.5630318
9,11,625.0023709
9,12,520.7096629
9,13,1055.954124
9,14,397.3358886
9,15,2301.740921
9,16,1628.559424
9,17,594.6510876
9,18,587.1545493
9,19,1126.602139
9,20,624.5423795
9,21,448.2912774
9,22,313.3625864
9,23,478.0901406
9,24,1644.836179
10,1,289.0477685
10,2,1983.371245
10,3,908.1670694
10,4,5037.15966
10,5,1605.862346
10,6,2362.859965
10,7,6310.613703
10,8,1875.835714
10,9,392.8119149
10,11,2319.140325
10,12,1384.912004
10,13,3843.270237
10,14,1348.739374
10,15,7171.221638
10,16,1992.46427
10,17,1072.043841
10,18,1991.238022
10,19,1655.331895
10,20,2077.411862
10,21,1585.304881
10,22,1143.726013
10,23,1751.17997
10,24,5938.504521
11,1,139.1248062
11,2,794.6221693
11,3,513.0903166
11,4,2139.020187
11,5,1044.798143
11,6,990.467975
11,7,3227.793564
11,8,1026.285898
11,9,155.6874431
11,10,232.9330055
11,12,597.6601263
11,13,2915.950328
11,14,1003.250911
11,15,2843.605485
11,16,789.1516768
11,17,431.0179559
11,18,1261.353198
11,19,658.3299409
11,20,1552.883755
11,21,1203.535201
11,22,455.9372973
11,23,1084.542135
11,24,4933.474611
12,1,250.1459553
12,2,1534.117301
12,3,711.1688974
12,4,3094.229088
12,5,1145.210493
12,6,1989.299424
12,7,3779.065872
12,8,1261.223381
12,9,295.5575115
12,10,316.9787896
12,11,1361.147419
12,13,2380.574132
12,14,916.6656822
12,15,4389.143331
12,16,1467.324928
12,17,699.2518647
12,18,1353.800781
12,19,1139.879488
12,20,1435.473213
12,21,1030.072604
12,22,619.9297892
12,23,1055.959089
12,24,3766.952416
13,1,205.3155694
