origin,destination,volume
11,12,129079.4405
11,13,303854.0797
11,14,79098.67996
11,15,60724.67174
11,21,62473.4796
11,22,27012.69196
11,23,23016.51659
11,31,31339.42496
11,32,22518.44666
11,33,16253.66785
11,34,25022.28951
11,35,13936.68941
11,36,12712.29409
11,37,49245.63801
11,41,19150.65928
11,42,25773.69374
11,43,11927.14782
11,44,20713.26848
11,45,13905.0284
11,46,2208.494757
11,51,24006.42783
11,52,14923.92224
11,53,9324.291001
11,54,628.2342722
11,61,30099.99761
11,62,12703.29032
11,63,2816.780397
11,64,6196.35026
11,65,5785.512209
12,11,152728.849
12,13,186404.3751
12,14,61084.58983
12,15,33517.90221
12,21,55230.17132
12,22,21271.46666
12,23,17071.9468
12,31,25107.53538
12,32,20323.1306
12,33,18433.01492
12,34,18532.90705
12,35,11180.64472
12,36,12809.68427
12,37,42944.66951
12,41,17770.09901
12,42,21147.38184
12,43,10388.29825
12,44,16254.20771
12,45,11397.49456
12,46,1917.009772
12,51,19277.58009
12,52,11507.41184
12,53,7625.919711
12,54,551.3235245
12,61,24272.35226
12,62,8864.986438
12,63,2229.092422
12,64,5212.108425
12,65,5242.305426
13,11,240132.6179
13,12,123915.8462
13,14,69184.56847
13,15,43595.65691
13,21,44190.29521
13,22,23756.42076
13,23,15191.42635
13,31,26822.82473
13,32,18923.39763
13,33,16352.24291
13,34,19331.26042
13,35,11343.69915
13,36,12521.50438
13,37,42640.80447
13,41,19712.28072
13,42,21728.05814
13,43,11002.3046
13,44,16842.12418
13,45,11796.73701
13,46,2004.100508
13,51,19298.38684
13,52,11365.94068
13,53,8877.541564
13,54,492.9376124
13,61,24756.57562
13,62,11331.15668
13,63,2296.357564
13,64,4872.129898
13,65,4737.395202
14,11,73025.91315
14,12,47477.27239
14,13,81546.62426
14,15,28426.62672
14,21,34455.87481
14,22,15242.50974
14,23,16312.75966
14,31,33391.63496
14,32,24034.33742
14,33,22948.83479
14,34,25513.2632
14,35,16936.9971
14,36,27787.13462
14,37,43557.78707
14,41,50944.9068
14,42,27156.31156
14,43,31141.16085
14,44,17543.66566
14,45,11947.62458
14,46,4588.926499
14,51,60380.55177
14,52,19714.69558
14,53,13977.92167
14,54,707.1395398
14,61,88232.44238
14,62,29371.81447
14,63,2380.099105
14,64,13070.62047
14,65,6538.762914
15,11,59318.02055
15,12,27546.30369
15,13,54424.61188
15,14,30103.21262
15,21,26329.38823
15,22,26692.95005
15,23,27359.53415
15,31,11265.96654
15,32,12029.27183
15,33,10865.9788
15,34,10496.27605
15,35,14107.71817
15,36,13016.98499
15,37,17956.68633
15,41,16626.42778
15,42,9235.273526
15,43,13406.55937
15,44,9610.607122
15,45,6710.734967
15,46,2502.383597
15,51,25731.27199
15,52,13248.70305
15,53,5693.890212
15,54,516.756526
15,61,30777.551
15,62,13968.93397
15,63,2441.683009
15,64,5847.87658
15,65,5420.638069
21,11,60976.60027
21,12,45384.29867
21,13,55114.15053
21,14,36439.06897
21,15,26291.74798
21,22,77102.58588
21,23,31832.59087
21,31,31821.12294
21,32,26820.34759
21,33,12934.30613
21,34,24885.48049
21,35,17522.26165
21,36,12973.22192
21,37,26597.4054
21,41,19306.87074
21,42,10851.76645
21,43,15736.4394
21,44,15034.00277
21,45,7542.762014
21,46,2737.102328
21,51,25627.64691
21,52,12106.01648
21,53,6994.698721
21,54,1449.820336
21,61,16423.6247
21,62,14450.49387
21,63,1356.078947
21,64,2684.272926
21,65,13096.72146
22,11,27342.04667
22,12,18111.37447
22,13,30765.34517
22,14,16735.18812
22,15,27670.12044
22,21,79979.19524
22,23,76930.23102
22,31,13007.19549
22,32,13571.74235
22,33,11667.47762
22,34,10431.68941
22,35,14460.44106
22,36,13425.28894
22,37,21835.37331
22,41,7853.555999
22,42,13128.15291
22,43,9562.136843
22,44,8861.629145
22,45,7197.126415
22,46,4836.131935
22,51,12948.47314
22,52,7010.098385
22,53,12608.37219
22,54,1003.76233
22,61,16306.86908
22,62,8398.784946
22,63,1420.27248
22,64,3248.015858
22,65,14040.35605
23,11,20316.47386
23,12,12672.74149
23,13,17161.3603
23,14,15618.32
23,15,24735.66167
23,21,28820.32454
23,22,67140.09342
23,31,15987.48099
23,32,12724.84299
23,33,8894.514885
23,34,12655.81908
23,35,7670.131454
23,36,6279.918813
23,37,8381.023968
23,41,9886.309825
