origin,destination,modularity,rawvolume,expectation
11,13,243420.69488501857,303854.09375,60433.39886498142
11,14,29958.906489049637,79098.6796875,49139.77319845036
11,15,34123.585365883744,60724.671875,26601.086509116256
11,21,28058.973372436434,62473.48046875,34414.507096313566
11,22,1164.6214077377663,27012.69140625,25848.069998512234
11,23,-475.9164473938217,23016.515625,23492.43207239382
11,31,-8860.703375736208,31339.42578125,40200.12915698621
11,32,-14118.298716086567,22518.447265625,36636.74598171157
11,33,-17894.3243443428,16253.66796875,34147.9923130928
11,34,-16343.84727154106,25022.2890625,41366.13633404106
11,35,-26910.7958075813,13936.689453125,40847.4852607063
11,36,-28126.54069689747,12712.2939453125,40838.83464220997
11,37,18553.995619992795,49245.63671875,30691.641098757205
11,41,-11761.791128841149,19150.66015625,30912.45128509115
11,42,-9171.66731626694,25773.693359375,34945.36067564194
11,43,-29444.540621474123,11927.1474609375,41371.68808241162
11,44,-25039.53987648709,20713.267578125,45752.80745461209
11,45,-16054.50310945995,13905.0283203125,29959.53142977245
11,46,-6021.532513835182,2208.494873046875,8230.027386882057
11,51,-31378.213922585266,24006.427734375,55384.641656960266
11,52,-20960.234223268817,14923.921875,35884.15609826882
11,53,-12275.603161124342,9324.291015625,21599.89417674934
11,54,-703.9541715813727,628.2342529296875,1332.1884245110602
11,61,-12569.403832767704,30099.998046875,42669.401879642704
11,62,-9471.276631591008,12703.2900390625,22174.56667065351
11,63,-1249.9740678226872,2816.780517578125,4066.754585400812
11,64,-1168.438882466793,6196.35009765625,7364.788980123043
11,65,-8611.37237839591,5785.51220703125,14396.88458542716
13,11,189455.75361541877,240132.625,50676.87138458122
13,14,22607.046615407817,69184.5703125,46577.52369709218
13,15,18381.60545975675,43595.65625,25214.05079024325
13,21,11570.233421942758,44190.296875,32620.063453057242
13,22,-743.8781974856247,23756.419921875,24500.298119360625
13,23,-7076.061273425668,15191.4267578125,22267.48803123817
13,31,-11281.186983620362,26822.82421875,38104.01120237036
13,32,-15803.031765098713,18923.3984375,34726.43020259871
13,33,-16015.202138297169,16352.2431640625,32367.44530235967
13,34,-19877.960585776695,19331.259765625,39209.220351401695
13,35,-27373.913599967076,11343.69921875,38717.612818717076
13,36,-26187.909355127238,12521.50390625,38709.41326137724
13,37,13549.48929198871,42640.8046875,29091.31539551129
13,41,-9588.330831619172,19712.28125,29300.612081619172
13,42,-11395.178634061922,21728.05859375,33123.23722781192
13,43,-28212.177932619255,11002.3046875,39214.482620119255
13,44,-26525.036358670943,16842.125,43367.16135867094
13,45,-16600.642135558064,11796.7373046875,28397.379440245564
13,46,-5796.796257656657,2004.1004638671875,7800.8967215238445
13,51,-33198.38506759957,19298.38671875,52496.77178634957
13,52,-22647.14148396648,11365.9404296875,34013.08191365398
13,53,-11596.088987125866,8877.5419921875,20473.630979313366
13,54,-769.7877401544481,492.9376220703125,1262.7253622247606
13,61,-15687.954761623128,24756.576171875,40444.53093349813
13,62,-9687.18260972606,11331.15625,21018.33885972606
13,63,-1558.3479165029776,2296.357666015625,3854.7055825186026
13,64,-2108.6437536556086,4872.1298828125,6980.773636468109
13,65,-8908.806199874896,4737.39501953125,13646.201219406146
13,12,96356.96430403275,123915.84375,27558.879445967246
14,11,22963.747958748012,73025.9140625,50062.16610375199
14,13,24959.17682735579,81546.625,56587.44817264421
14,15,3518.4200271218506,28426.626953125,24908.20692600315
14,21,2231.4895893658722,34455.875,32224.385410634128
14,22,-8960.602236590206,15242.509765625,24203.112002215206
14,23,-5684.62590708895,16312.759765625,21997.38567271395
14,31,-4250.176714363435,33391.63671875,37641.813433113435
14,32,-10270.864255729102,24034.337890625,34305.2021463541
14,33,-9025.99750796234,22948.833984375,31974.83149233734
14,34,-13220.3528360239,25513.263671875,38733.6165078989
14,35,-21310.974077566534,16936.998046875,38247.972124441534
14,36,-10452.737261270864,27787.134765625,38239.872026895864
14,37,14819.344449157823,43557.78515625,28738.440707092177
14,41,21999.707604254065,50944.90625,28945.198645745935
14,42,-5565.143238825007,27156.3125,32721.455738825007
14,43,-7597.65478958367,31141.16015625,38738.81494583367
14,44,-25297.456099236995,17543.666015625,42841.122114861995
14,45,-16105.297124182016,11947.625,28052.922124182016
14,46,-3117.3463704558017,4588.92626953125,7706.272639987052
14,51,8520.559481972377,60380.55078125,51859.99129927762
14,52,-13885.811386892397,19714.6953125,33600.5066993924
14,53,-6247.366048854696,13977.921875,20225.287923854696
14,54,-540.269106012393,707.1395263671875,1247.4086323795805
14,61,48278.502413863214,88232.4453125,39953.942898636786
14,62,8608.425899886544,29371.814453125,20763.388553238456
14,63,-1427.8492758907619,2380.09912109375,3807.948396984512
14,64,6174.522552887415,13070.6201171875,6896.097564300085
14,65,-6941.911495221466,6538.7626953125,13480.674190533966
14,12,20252.680388193116,47477.2734375,27224.593049306884
15,11,30304.635100785268,59318.01953125,29013.384430464732
15,13,21629.520388757708,54424.61328125,32795.09289249229
