IPUMSID,POINT_X,POINT_Y
34,117.2262303,31.82578581
11,116.4106715,40.1849142
35,117.9909536,26.0791143
62,100.933874,37.8207887
44,113.4152826,23.33544854
45,108.7872337,23.82741108
52,106.8740991,26.8151819
46,109.7458309,19.19553393
13,115.495878,38.57336
23,127.7823601,47.84154247
41,113.613553,33.88259152
42,112.2690854,30.97599381
43,111.7084469,27.60697558
32,119.4557011,32.97338839
36,115.7208219,27.61366261
22,126.1940038,43.6644055
21,122.6076547,41.29891528
15,113.9144872,44.08639629
64,106.1648622,37.27093378
63,96.00369368,35.74928715
61,108.8705819,35.19516887
37,118.1509191,36.35199896
31,121.4545605,31.19660493
14,112.2919732,37.57589687
51,103.4580795,30.53505922
12,117.3330017,39.31040122
65,85.2043298,41.11201624
54,88.12886803,31.6938053
53,101.4894024,24.9760029
33,120.0888388,29.17951244
