Station,Station_ID,Y,X,startCount,endCount,netFlow
2112 W Peterson Ave,KA1504000155,41.99117221,-87.68359342,30,27,-3
63rd St Beach,15491,41.78104202,-87.57611067,34,41,7
900 W Harrison St,13028,41.87475345,-87.64980141,105,99,-6
Aberdeen St & Jackson Blvd,13157,41.87773267,-87.65479862,145,153,8
Aberdeen St & Monroe St,13156,41.88041387,-87.65553481,152,163,11
Aberdeen St & Randolph St,18062,41.88411826,-87.6542748,157,181,24
Ada St & 113th St,20129,41.68756162,-87.65547574,1,2,1
Ada St & Washington Blvd,13353,41.88283521,-87.66120456,141,148,7
Adler Planetarium,13431,41.86610084,-87.60727728,140,145,5
Albany Ave & 26th St,15691,41.84448159,-87.70201514,13,14,1
Albany Ave & Bloomingdale Ave,15655,41.91401035,-87.70513972,85,73,-12
Albany Ave & Montrose Ave,15621,41.96103541,-87.70585985,43,58,15
Archer (Damen) Ave & 37th St,18022,41.82671922,-87.68315034,16,19,3
Artesian Ave & Hubbard St,15664,41.88950224,-87.68821525,40,52,12
Ashland Ave & 13th St,13354,41.86523589,-87.66650821,62,71,9
Ashland Ave & 50th St,16940,41.803023,-87.664699,7,6,-1
Ashland Ave & 63rd St,16948,41.77937493,-87.66485764,7,9,2
Ashland Ave & 66th St,16950,41.77407228,-87.66379922,3,5,2
Ashland Ave & 74th St,20245,41.75922696,-87.6634751,2,6,4
Ashland Ave & 78th St,20234,41.752277,-87.663783,1,2,1
Ashland Ave & Archer Ave,15442,41.839185,-87.66560976,30,23,-7
Ashland Ave & Augusta Blvd,13248,41.8996374,-87.66789591,149,160,11
Ashland Ave & Belle Plaine Ave,13249,41.95605972,-87.6688464,72,69,-3
Ashland Ave & Blackhawk St,13224,41.90706368,-87.66724628,181,183,2
Ashland Ave & Chicago Ave,13247,41.89596973,-87.66774731,148,155,7
Ashland Ave & Division St,13061,41.90342307,-87.6677907,235,248,13
Ashland Ave & Garfield Blvd,16943,41.79285564,-87.66442625,6,1,-5
Ashland Ave & Grace St,13319,41.95068513,-87.66869565,108,115,7
Ashland Ave & Grand Ave,13434,41.89107844,-87.66663449,111,115,4
Ashland Ave & Lake St,13073,41.8859282,-87.66716838,107,114,7
Ashland Ave & McDowell Ave,16937,41.80886319,-87.6645308,9,7,-2
Ashland Ave & Pershing Rd,16932,41.82345871,-87.6655798,14,17,3
Ashland Ave & Wellington Ave,13269,41.93608654,-87.669833,109,114,5
Ashland Ave & Wrightwood Ave,13296,41.92883237,-87.66851918,118,120,2
Austin Blvd & Chicago Ave,16921,41.8948895,-87.77451687,6,7,1
Austin Blvd & Lake St,16906,41.88791331,-87.77445101,6,11,5
Austin Blvd & Madison St,16918,41.88027689,-87.7744695,3,3,0
Avenue O & 118th St,20218,41.68102719,-87.53798432,2,2,0
Avenue O & 134th St,20214,41.65190733,-87.539601,1,1,0
Avers Ave & Belmont Ave,15640,41.93940998,-87.72357194,37,50,13
Avondale Ave & Irving Park Rd,15624,41.95339486,-87.73199546,41,45,4
Baltimore Ave & 87th St,20229,41.73733779,-87.54849693,8,11,3
Base - 2132 W Hubbard Warehouse,Hubbard Bike-checking (LBS-WH-TEST),41.88995966,-87.68046526,1,16,15
Bennett Ave & 79th St,16970,41.751785,-87.578496,5,1,-4
Benson Ave & Church St,596,42.04822223,-87.68348356,43,44,1
Bernard St & Elston Ave,18016,41.94992591,-87.71394892,40,32,-8
Bissell St & Armitage Ave,13059,41.91845436,-87.65222379,189,199,10
Blackstone Ave & Hyde Park Blvd,13398,41.80255867,-87.59035182,54,59,5
Blue Island Ave & 18th St,13135,41.85752814,-87.66156603,119,113,-6
Bosworth Ave & Howard St,16806,42.01953979,-87.66955739,26,23,-3
Bradley Park,20227,41.71788174,-87.56461614,2,2,0
Broadway & Argyle St,13108,41.97379041,-87.65970325,123,118,-5
Broadway & Barry Ave,13137,41.9376022,-87.64409871,216,216,0
Broadway & Belmont Ave,13277,41.94010723,-87.64545734,182,186,4
Broadway & Berwyn Ave,13109,41.97835256,-87.65975863,99,111,12
Broadway & Cornelia Ave,13278,41.94553006,-87.64644023,194,202,8
Broadway & Granville Ave,15571,41.99478111,-87.66027234,94,116,22
Broadway & Ridge Ave,15578,41.98405328,-87.66026597,95,102,7
Broadway & Sheridan Rd,13323,41.9528225,-87.64999594,155,162,7
Broadway & Thorndale Ave,15575,41.98974706,-87.66013547,103,105,2
Broadway & Waveland Ave,13325,41.94907194,-87.6486273,177,188,11
Broadway & Wilson - Truman College Vaccination Site,13074,41.96521099,-87.65819202,115,126,11
Buckingham Fountain,15541,41.87649382,-87.62051791,125,119,-6
Budlong Woods Library,15585,41.98366933,-87.69641836,26,22,-4
Burling St & Diversey Pkwy,TA1309000036,41.93313094,-87.64775745,166,170,4
Burnham Greenway & 105th St,20222,41.70458793,-87.52829238,4,4,0
Burnham Harbor,15545,41.85626915,-87.61334249,159,152,-7
California Ave & 21st St,13096,41.85379597,-87.69577704,38,39,1
California Ave & 23rd Pl,15689,41.84912213,-87.69515245,17,21,4
California Ave & 26th St,15692,41.8440402,-87.69529678,8,5,-3
California Ave & Altgeld St,15646,41.92668324,-87.69769118,99,97,-2
California Ave & Byron St,15628,41.9521605,-87.69806423,63,73,10
California Ave & Cortez St,17660,41.90036413,-87.6967167,86,106,20
California Ave & Division St,13256,41.90302611,-87.6974866,75,87,12
California Ave & Fletcher St,15642,41.93843223,-87.69801289,97,113,16
California Ave & Francis Pl (Temp),13259,41.91852008,-87.69744625,101,101,0
California Ave & Lake St,15666,41.8844564,-87.69629797,23,26,3
California Ave & Milwaukee Ave,13084,41.92268627,-87.69714892,149,170,21
California Ave & Montrose Ave,15622,41.96107863,-87.69543489,67,76,9
California Ave & North Ave,13258,41.91043539,-87.69717578,92,87,-5
Calumet Ave & 18th St,13102,41.8576299,-87.61942895,110,123,13
Calumet Ave & 21st St,15546,41.85414789,-87.61914518,68,59,-9
Calumet Ave & 33rd St,13217,41.83488057,-87.61792159,57,63,6
Calumet Ave & 35th St,13345,41.8313839,-87.61803419,36,35,-1
Calumet Ave & 51st St,15470,41.80228677,-87.61806119,24,26,2
Calumet Ave & 71st St,15599,41.76550801,-87.61691792,1,4,3
Calumet Park,20224,41.71371904,-87.53085216,1,1,0
Campbell Ave & Fullerton Ave,15648,41.92464008,-87.68930869,106,109,3
Campbell Ave & Montrose Ave,15623,41.96153923,-87.6911682,68,73,5
Campbell Ave & North Ave,13257,41.91053436,-87.68956309,115,127,12
Canal St & Adams St,13011,41.87930955,-87.63993823,177,155,-22
Canal St & Harrison St,13326,41.87425165,-87.63957731,76,63,-13
Canal St & Jackson Blvd,13138,41.87723461,-87.63940191,115,99,-16
Canal St & Madison St,13341,41.88211587,-87.63984868,155,135,-20
Canal St & Monroe St,13056,41.88169056,-87.63952651,117,87,-30
Canal St & Taylor St,15550,41.87023922,-87.6394732,111,112,1
Cannon Dr & Fullerton Ave,13124,41.92675541,-87.6344354,100,112,12
