rootsid,x,y,TotalFlow_1789_1807,Inflow_1789_1807,Outflow_1789_1807,Netflow_1789_1807,NetflowRatio_1789_1807,Degree_1789_1807,InDegree_1789_1807,OutDegree_1789_1807,TotalFlow_1807_1829,Inflow_1807_1829,Outflow_1807_1829,Netflow_1807_1829,NetflowRatio_1807_1829,Degree_1807_1829,InDegree_1807_1829,OutDegree_1807_1829,TotalFlow_1829_1857,Inflow_1829_1857,Outflow_1829_1857,Netflow_1829_1857,NetflowRatio_1829_1857,Degree_1829_1857,InDegree_1829_1857,OutDegree_1829_1857,TotalFlow_1857_1872,Inflow_1857_1872,Outflow_1857_1872,Netflow_1857_1872,NetflowRatio_1857_1872,Degree_1857_1872,InDegree_1857_1872,OutDegree_1857_1872,TotalFlow_1872_1887,Inflow_1872_1887,Outflow_1872_1887,Netflow_1872_1887,NetflowRatio_1872_1887,Degree_1872_1887,InDegree_1872_1887,OutDegree_1872_1887,TotalFlow_1887_1924,Inflow_1887_1924,Outflow_1887_1924,Netflow_1887_1924,NetflowRatio_1887_1924,Degree_1887_1924,InDegree_1887_1924,OutDegree_1887_1924
101,-86.8279,32.7852,1311,782,529,253,0.19298245,11,11,9,10221,7141,3080,4061,0.39731926,21,20,20,23723,11798,11925,-127,-0.005353455,33,24,31,7452,3041,4411,-1370,-0.18384327,27,23,24,6244,2562,3682,-1120,-0.17937219,30,24,26,10343,4334,6009,-1675,-0.16194528,34,31,32
104,-111.672,34.2992,,,,,,,,,,,,,,,,,58,31,27,4,0.06896552,6,5,3,125,68,57,11,0.088,9,9,6,1438,1071,367,704,0.48956886,21,19,12,3674,2098,1576,522,0.14207947,35,33,27
105,-92.4407,34.9005,125,76,49,27,0.216,7,7,7,1431,972,459,513,0.35849056,17,17,16,13830,9675,4155,5520,0.3991323,29,26,27,9995,6134,3861,2273,0.22741371,31,30,28,10808,6092,4716,1376,0.1273131,36,32,35,21276,9291,11985,-2694,-0.12662154,40,36,38
106,-119.612,37.2477,,,,,,,,,,,,,,,,,2094,1693,401,1292,0.61700094,38,37,25,3346,2193,1153,1040,0.31081888,43,42,38,3456,2188,1268,920,0.2662037,44,44,40,12136,8585,3551,5034,0.41479895,48,48,45
107,-105.547,38.9988,,,,,,,,,109,55,54,1,0.009174312,10,9,7,300,171,129,42,0.14,20,17,15,838,579,259,320,0.38186157,28,27,24,2514,1777,737,1040,0.41368338,42,40,32,11565,6739,4826,1913,0.16541289,44,43,39
109,-72.7305,41.6133,5177,1672,3505,-1833,-0.35406607,22,19,20,3806,1324,2482,-1158,-0.30425644,21,19,19,3302,1342,1960,-618,-0.1871593,28,22,28,1296,590,706,-116,-0.08950617,26,23,24,962,455,507,-52,-0.054054055,28,22,26,1553,826,727,99,0.063747585,26,21,24
110,-75.4962,38.9823,582,219,363,-144,-0.24742268,13,10,12,705,304,401,-97,-0.13758865,14,11,13,1441,668,773,-105,-0.07286607,18,18,15,681,318,363,-45,-0.066079296,18,11,17,555,275,280,-5,-0.009009009,15,11,13,1014,498,516,-18,-0.01775148,16,13,14
111,-77.0119,38.8936,105,57,48,9,0.08571429,5,3,4,177,84,93,-9,-0.050847456,9,8,7,409,213,196,17,0.041564792,19,15,13,431,221,210,11,0.025522042,25,20,18,352,199,153,46,0.13068181,20,18,12,1093,548,545,3,0.002744739,28,23,24
112,-82.5034,28.6478,,,,,,,,,534,353,181,172,0.3220974,10,9,6,2720,1799,921,878,0.3227941,17,15,13,1378,833,545,288,0.20899855,16,13,13,1359,825,534,291,0.21412803,23,22,18,3746,2335,1411,924,0.24666311,40,37,34
113,-83.4497,32.6512,6471,3927,2544,1383,0.21372277,24,23,21,10349,5180,5169,11,0.001062905,25,24,23,18288,7736,10552,-2816,-0.15398075,31,25,29,6548,2351,4197,-1846,-0.28191814,33,25,32,4919,1784,3135,-1351,-0.27464932,30,28,28,7791,3290,4501,-1211,-0.15543576,37,31,35
116,-114.656,44.3875,,,,,,,,,,,,,,,,,111,62,49,13,0.117117114,8,6,6,1044,708,336,372,0.35632184,20,17,13,2826,1985,841,1144,0.40481246,29,29,22,12372,7758,4614,3144,0.2541222,37,37,34
117,-89.196,40.0603,1014,637,377,260,0.25641027,18,18,18,7365,5288,2077,3211,0.435981,28,28,26,38657,24114,14543,9571,0.24758776,45,40,45,25261,12093,13168,-1075,-0.04255572,46,43,45,18846,6507,12339,-5832,-0.30945557,48,45,47,23178,10378,12800,-2422,-0.104495645,47,46,45
118,-86.2786,39.9134,2377,1444,933,511,0.21497686,22,20,21,15487,11137,4350,6787,0.43823853,36,31,31,38878,21473,17405,4068,0.104635015,43,40,41,17437,7658,9779,-2121,-0.121637896,39,36,38,11801,4445,7356,-2911,-0.24667402,45,39,43,17035,7942,9093,-1151,-0.067566775,44,44,43
119,-93.5016,42.0767,,,,,,,,,705,398,307,91,0.12907802,12,12,11,21563,15671,5892,9779,0.45350832,42,42,38,20198,11939,8259,3680,0.18219626,44,41,42,17753,7773,9980,-2207,-0.12431702,44,39,43,22533,9637,12896,-3259,-0.14463231,44,42,43
120,-98.3778,38.4854,,,,,,,,,117,61,56,5,0.042735044,9,9,8,1778,1327,451,876,0.49268842,28,25,20,9619,7318,2301,5017,0.5215719,42,41,31,20334,13882,6452,7430,0.36539787,46,41,43,29460,12900,16560,-3660,-0.124236256,46,43,45
121,-85.2834,37.5278,17010,11033,5977,5056,0.29723692,27,27,27,23991,10541,13450,-2909,-0.1212538,36,32,33,27120,10439,16681,-6242,-0.23016225,36,32,33,10188,4560,5628,-1068,-0.104829215,38,32,34,7520,2969,4551,-1582,-0.21037234,35,30,35,13977,5520,8457,-2937,-0.21013093,40,36,39
122,-91.9764,31.0493,425,281,144,137,0.32235295,14,14,11,1262,705,557,148,0.117274165,20,18,18,4567,2710,1857,853,0.18677469,27,24,26,2663,1400,1263,137,0.051445737,25,22,24,2133,1017,1116,-99,-0.046413504,28,25,25,4976,2567,2409,158,0.03175241,38,36,35
123,-69.2296,45.369,1553,976,577,399,0.2569221,14,10,14,1521,731,790,-59,-0.03879027,19,17,14,2212,829,1383,-554,-0.25045207,29,19,29,1297,466,831,-365,-0.28141865,24,20,24,903,330,573,-243,-0.269103,27,18,26,1467,680,787,-107,-0.072937965,26,20,22
124,-76.7675,39.0337,4622,1511,3111,-1600,-0.34617049,23,18,22,3081,1043,2038,-995,-0.32294708,19,16,19,3362,1246,2116,-870,-0.25877455,27,21,26,1688,747,941,-194,-0.11492891,29,22,26,1365,628,737,-109,-0.07985348,22,15,22,3025,1572,1453,119,0.039338842,34,29,31
125,-71.7523,42.2393,6073,2182,3891,-1709,-0.28140953,22,20,20,4891,1875,3016,-1141,-0.23328562,24,19,23,6110,2561,3549,-988,-0.16170213,33,29,30,2947,1384,1563,-179,-0.060739737,33,26,32,2341,1172,1169,3,0.001281504,32,27,30,4246,2187,2059,128,0.03014602,35,31,31
126,-85.4379,44.3385,153,97,56,41,0.26797387,9,9,7,1011,678,333,345,0.34124628,15,15,11,9485,6996,2489,4507,0.47517133,34,27,29,6475,4108,2367,1741,0.2688803,35,30,31,5077,2667,2410,257,0.050620444,42,36,39,9835,5194,4641,553,0.05622776,45,45,42
127,-94.3041,46.3214,,,,,,,,,,,,,,,,,1558,1321,237,1084,0.6957638,24,22,14,4637,3361,1276,2085,0.44964418,39,36,31,4369,2352,2017,335,0.076676585,37,32,33,10918,5525,5393,132,0.012090126,44,38,42
128,-89.6664,32.764,754,462,292,170,0.2254642,14,14,10,3475,2255,1220,1035,0.29784173,21,19,15,14846,8889,5957,2932,0.19749427,30,23,30,5278,2242,3036,-794,-0.15043578,29,21,27,4097,1450,2647,-1197,-0.292165,25,22,22,5815,2348,3467,-1119,-0.19243336,31,25,28
129,-92.4769,38.3692,992,629,363,266,0.26814517,13,13,12,6078,4210,1868,2342,0.38532412,31,29,25,30877,20671,10206,10465,0.33892542,43,40,40,22732,13273,9459,3814,0.1677811,47,44,42,20529,9978,10551,-573,-0.027911734,48,46,46,33393,14387,19006,-4619,-0.1383224,45,45,43
130,-109.646,47.0342,,,,,,,,,172,86,86,0,0,9,7,7,231,116,115,1,0.004329004,13,11,11,486,297,189,108,0.22222222,23,21,19,784,528,256,272,0.3469388,30,30,23,5364,3275,2089,1186,0.22110365,36,33,32
131,-99.811,41.5271,,,,,,,,,,,,,,,,,1171,678,493,185,0.15798463,22,17,16,3610,2627,983,1644,0.45540166,36,34,25,9510,6832,2678,4154,0.43680337,41,40,33,16316,7297,9019,-1722,-0.10554057,44,40,41
132,-116.66,39.3643,,,,,,,,,,,,,,,,,77,45,32,13,0.16883117,5,4,4,792,446,346,100,0.12626262,16,13,11,621,250,371,-121,-0.19484702,20,15,14,1245,662,583,79,0.063453816,17,16,13
133,-71.5729,43.6916,2627,1127,1500,-373,-0.14198706,12,10,11,2297,969,1328,-359,-0.15629081,12,9,12,2678,1146,1532,-386,-0.14413741,20,15,18,1098,474,624,-150,-0.13661203,19,14,18,704,347,357,-10,-0.014204546,16,10,15,1387,696,691,5,0.003604903,16,11,13
134,-74.665,40.209,2906,963,1943,-980,-0.3372333,19,18,19,2611,876,1735,-859,-0.32899272,22,19,20,3496,1323,2173,-850,-0.243135,30,24,26,1760,864,896,-32,-0.018181818,31,23,27,1499,754,745,9,0.006004003,34,24,30,2961,1722,1239,483,0.16312057,36,29,31
135,-106.108,34.4223,,,,,,,,,,,,,,,,,120,53,67,-14,-0.11666667,7,7,5,117,53,64,-11,-0.094017096,8,7,6,634,447,187,260,0.41009465,19,18,12,4955,2858,2097,761,0.15358225,35,33,26
136,-75.5048,42.9388,9448,6166,3282,2884,0.30524978,25,25,25,13040,6858,6182,676,0.05184049,35,32,33,24163,6905,17258,-10353,-0.428465,41,38,39,9176,2858,6318,-3460,-0.3770706,43,39,42,5354,2049,3305,-1256,-0.23459096,46,39,46,8210,3908,4302,-394,-0.047990255,47,45,47
137,-79.3476,35.5354,16887,6412,10475,-4063,-0.24059927,31,31,30,17175,5419,11756,-6337,-0.36896652,31,30,28,14501,4283,10218,-5935,-0.40928212,31,27,30,4090,1530,2560,-1030,-0.25183374,30,26,28,3154,1379,1775,-396,-0.12555484,32,24,30,7061,3106,3955,-849,-0.120237924,38,36,35
138,-100.476,47.4467,,,,,,,,,,,,,,,,,,,,,,,,,31,19,12,7,0.22580644,3,2,2,689,538,151,387,0.5616836,20,18,15,5975,3344,2631,713,0.11933054,32,29,28
139,-82.7927,40.2946,9012,6673,2339,4334,0.48091432,23,23,23,23851,15652,8199,7453,0.31248167,37,35,37,45126,17931,27195,-9264,-0.20529185,44,41,43,18657,6313,12344,-6031,-0.3232567,43,41,40,11422,4236,7186,-2950,-0.2582735,44,40,43,17764,8920,8844,76,0.004278316,46,45,44
140,-97.5057,35.5841,,,,,,,,,300,158,142,16,0.053333335,8,8,5,755,477,278,199,0.26357615,20,19,16,687,390,297,93,0.13537118,21,19,18,2881,1985,896,1089,0.37799376,34,29,26,40578,26391,14187,12204,0.3007541,42,42,41
141,-120.558,43.9433,,,,,,,,,,,,,,,,,2004,1679,325,1354,0.6756487,25,25,16,2112,1295,817,478,0.22632575,28,28,26,3086,1949,1137,812,0.26312378,35,34,26,8839,5391,3448,1943,0.21982124,38,36,35
142,-77.7991,40.8739,10554,4461,6093,-1632,-0.15463331,30,27,30,13330,5213,8117,-2904,-0.21785447,35,32,34,20376,7156,13220,-6064,-0.29760504,42,41,42,9118,3196,5922,-2726,-0.29896906,44,40,44,6496,2440,4056,-1616,-0.24876848,46,36,45,11166,4845,6321,-1476,-0.132187,46,44,46
144,-71.5571,41.6748,1413,506,907,-401,-0.28379336,14,14,12,1066,407,659,-252,-0.23639774,14,11,14,1165,496,669,-173,-0.14849785,18,14,18,567,258,309,-51,-0.08994709,19,11,18,561,289,272,17,0.030303031,15,12,11,874,463,411,52,0.059496567,10,9,9
145,-80.897,33.9083,9283,3964,5319,-1355,-0.14596574,27,25,26,10552,3183,7369,-4186,-0.39670205,25,22,24,8745,2279,6466,-4187,-0.47878787,23,20,23,2016,696,1320,-624,-0.30952382,22,20,19,1525,630,895,-265,-0.17377049,19,14,17,3295,1535,1760,-225,-0.06828528,28,18,27
146,-100.233,44.4375,,,,,,,,,,,,,,,,,,,,,,,,,162,124,38,86,0.5308642,10,10,5,2108,1705,403,1302,0.61764705,28,24,21,7944,3966,3978,-12,-0.001510574,34,29,30
147,-86.3486,35.8436,12933,8234,4699,3535,0.2733318,30,29,23,24318,13022,11296,1726,0.070976235,31,28,29,34858,11808,23050,-11242,-0.32250845,38,31,37,11233,4444,6789,-2345,-0.2087599,36,31,35,8200,3063,5137,-2074,-0.25292683,35,30,33,13500,5588,7912,-2324,-0.17214815,40,36,38
148,-99.3469,31.4933,,,,,,,,,,,,,,,,,11946,9844,2102,7742,0.64808303,35,34,28,9751,7061,2690,4371,0.4482617,38,35,34,14127,10071,4056,6015,0.42578042,44,41,39,33147,17192,15955,1237,0.03731861,45,45,44
150,-111.677,39.324,,,,,,,,,,,,,,,,,2908,2519,389,2130,0.73246217,35,33,17,2964,1608,1356,252,0.085020244,38,38,25,4366,1534,2832,-1298,-0.2972973,38,38,27,10877,4618,6259,-1641,-0.1508688,44,44,33
151,-72.6667,44.0718,5032,2783,2249,534,0.106120825,20,17,18,4564,1763,2801,-1038,-0.22743207,23,18,23,4396,1518,2878,-1360,-0.30937216,26,20,26,1461,576,885,-309,-0.21149898,24,16,23,912,387,525,-138,-0.1513158,26,19,23,1394,664,730,-66,-0.04734577,22,14,19
152,-78.8209,37.5176,25343,9717,15626,-5909,-0.23316103,37,33,34,25392,9418,15974,-6556,-0.25819156,35,34,34,31218,12522,18696,-6174,-0.19777052,39,35,39,14274,4153,10121,-5968,-0.41810283,40,35,37,5230,2255,2975,-720,-0.1376673,40,35,37,8861,4065,4796,-731,-0.08249633,41,39,39
153,-120.456,47.3826,,,,,,,,,,,,,,,,,574,335,239,96,0.16724738,20,19,16,1051,685,366,319,0.30352047,29,27,19,2435,1808,627,1181,0.48501027,36,34,27,11097,7110,3987,3123,0.2814274,44,43,38
154,-80.6115,38.653,6050,3098,2952,146,0.024132231,17,15,17,9471,4755,4716,39,0.004117834,20,18,19,18223,9464,8759,705,0.038687374,30,26,27,12212,8296,3916,4380,0.35866362,30,27,27,5227,2741,2486,255,0.048785154,33,30,32,9688,4623,5065,-442,-0.04562345,41,34,41
155,-90.0187,44.6364,,,,,,,,,207,132,75,57,0.2753623,14,13,8,7770,5857,1913,3944,0.50759333,31,28,29,7672,3479,4193,-714,-0.093065694,40,35,34,5207,1935,3272,-1337,-0.25676975,39,34,33,8200,3852,4348,-496,-0.060487803,37,34,35
156,-107.551,42.9995,,,,,,,,,,,,,,,,,198,97,101,-4,-0.02020202,11,9,6,195,92,103,-11,-0.056410257,16,9,11,647,397,250,147,0.22720248,23,20,17,4060,2387,1673,714,0.17586207,29,28,25
